pos_dim,script,tokens_in_script,collided_tokens,pct_collided
12,NonAlpha,8022,1268,15.80653203689853
12,LATIN,108185,1217,1.1249248971668901
12,DEVANAGARI,4020,1496,37.21393034825871
12,BENGALI,2166,618,28.53185595567867
12,GUJARATI,1740,404,23.2183908045977
12,GURMUKHI,581,6,1.0327022375215147
12,TAMIL,1054,274,25.996204933586338
12,ORIYA,645,22,3.4108527131782944
12,KANNADA,1420,327,23.028169014084508
12,TELUGU,1400,307,21.928571428571427
12,MALAYALAM,1797,554,30.829159710628826
12,MASCULINE,2,0,0.0
12,MICRO,2,0,0.0
12,MODIFIER,20,0,0.0
12,FEMININE,1,0,0.0
12,FULLWIDTH,10,0,0.0
12,HALFWIDTH,7,0,0.0
16,NonAlpha,8022,1216,15.158314634754426
16,LATIN,108185,18,0.016638166104358275
16,DEVANAGARI,4020,253,6.293532338308458
16,BENGALI,2166,101,4.66297322253001
16,GUJARATI,1740,65,3.735632183908046
16,GURMUKHI,581,0,0.0
16,TAMIL,1054,60,5.692599620493358
16,ORIYA,645,2,0.31007751937984496
16,KANNADA,1420,77,5.422535211267606
16,TELUGU,1400,80,5.714285714285714
16,MALAYALAM,1797,184,10.239287701725097
16,MASCULINE,2,0,0.0
16,MICRO,2,0,0.0
16,MODIFIER,20,0,0.0
16,FEMININE,1,0,0.0
16,FULLWIDTH,10,0,0.0
16,HALFWIDTH,7,0,0.0
20,NonAlpha,8022,1176,14.659685863874346
20,LATIN,108185,0,0.0
20,DEVANAGARI,4020,86,2.1393034825870645
20,BENGALI,2166,35,1.6158818097876269
20,GUJARATI,1740,17,0.9770114942528736
20,GURMUKHI,581,0,0.0
20,TAMIL,1054,16,1.5180265654648957
20,ORIYA,645,0,0.0
20,KANNADA,1420,20,1.408450704225352
20,TELUGU,1400,22,1.5714285714285714
20,MALAYALAM,1797,82,4.56316082359488
20,MASCULINE,2,0,0.0
20,MICRO,2,0,0.0
20,MODIFIER,20,0,0.0
20,FEMININE,1,0,0.0
20,FULLWIDTH,10,0,0.0
20,HALFWIDTH,7,0,0.0
24,NonAlpha,8022,1165,14.522562951882323
24,LATIN,108185,0,0.0
24,DEVANAGARI,4020,24,0.5970149253731343
24,BENGALI,2166,12,0.554016620498615
24,GUJARATI,1740,2,0.11494252873563218
24,GURMUKHI,581,0,0.0
24,TAMIL,1054,2,0.18975332068311196
24,ORIYA,645,0,0.0
24,KANNADA,1420,6,0.4225352112676056
24,TELUGU,1400,6,0.42857142857142855
24,MALAYALAM,1797,27,1.5025041736227045
24,MASCULINE,2,0,0.0
24,MICRO,2,0,0.0
24,MODIFIER,20,0,0.0
24,FEMININE,1,0,0.0
24,FULLWIDTH,10,0,0.0
24,HALFWIDTH,7,0,0.0
32,NonAlpha,8022,1149,14.323111443530292
32,LATIN,108185,0,0.0
32,DEVANAGARI,4020,0,0.0
32,BENGALI,2166,0,0.0
32,GUJARATI,1740,0,0.0
32,GURMUKHI,581,0,0.0
32,TAMIL,1054,0,0.0
32,ORIYA,645,0,0.0
32,KANNADA,1420,0,0.0
32,TELUGU,1400,0,0.0
32,MALAYALAM,1797,2,0.11129660545353366
32,MASCULINE,2,0,0.0
32,MICRO,2,0,0.0
32,MODIFIER,20,0,0.0
32,FEMININE,1,0,0.0
32,FULLWIDTH,10,0,0.0
32,HALFWIDTH,7,0,0.0
