pos_dim,script,tokens_in_script,collided_tokens,pct_collided
12,NonAlpha,6823,119,1.744100835409644
12,LATIN,108184,1217,1.1249352954226133
12,DEVANAGARI,4002,1492,37.28135932033983
12,KANNADA,1413,325,23.00070771408351
12,MALAYALAM,1783,550,30.846887268648345
12,ORIYA,645,22,3.4108527131782944
12,BENGALI,2149,616,28.664495114006513
12,GUJARATI,1720,402,23.372093023255815
12,TAMIL,1047,274,26.170009551098378
12,GURMUKHI,580,6,1.0344827586206897
12,Invalid/Partial,1306,9,0.6891271056661562
12,TELUGU,1378,303,21.988388969521043
12,FULLWIDTH,10,0,0.0
12,MODIFIER,20,0,0.0
12,HALFWIDTH,7,0,0.0
12,MASCULINE,2,0,0.0
12,FEMININE,1,0,0.0
12,MICRO,2,0,0.0
16,NonAlpha,6823,67,0.9819727392642532
16,LATIN,108184,18,0.016638319899430598
16,DEVANAGARI,4002,253,6.32183908045977
16,KANNADA,1413,77,5.4493984430290165
16,MALAYALAM,1783,182,10.207515423443635
16,ORIYA,645,2,0.31007751937984496
16,BENGALI,2149,101,4.699860400186133
16,GUJARATI,1720,65,3.7790697674418605
16,TAMIL,1047,60,5.730659025787966
16,GURMUKHI,580,0,0.0
16,Invalid/Partial,1306,0,0.0
16,TELUGU,1378,78,5.660377358490566
16,FULLWIDTH,10,0,0.0
16,MODIFIER,20,0,0.0
16,HALFWIDTH,7,0,0.0
16,MASCULINE,2,0,0.0
16,FEMININE,1,0,0.0
16,MICRO,2,0,0.0
20,NonAlpha,6823,27,0.3957203576139528
20,LATIN,108184,0,0.0
20,DEVANAGARI,4002,86,2.1489255372313845
20,KANNADA,1413,20,1.4154281670205238
20,MALAYALAM,1783,80,4.48681996634885
20,ORIYA,645,0,0.0
20,BENGALI,2149,35,1.6286644951140066
20,GUJARATI,1720,17,0.9883720930232558
20,TAMIL,1047,16,1.5281757402101241
20,GURMUKHI,580,0,0.0
20,Invalid/Partial,1306,0,0.0
20,TELUGU,1378,22,1.5965166908563135
20,FULLWIDTH,10,0,0.0
20,MODIFIER,20,0,0.0
20,HALFWIDTH,7,0,0.0
20,MASCULINE,2,0,0.0
20,FEMININE,1,0,0.0
20,MICRO,2,0,0.0
24,NonAlpha,6823,16,0.2345009526601202
24,LATIN,108184,0,0.0
24,DEVANAGARI,4002,24,0.5997001499250375
24,KANNADA,1413,6,0.42462845010615713
24,MALAYALAM,1783,25,1.4021312394840157
24,ORIYA,645,0,0.0
24,BENGALI,2149,12,0.5583992554676593
24,GUJARATI,1720,2,0.11627906976744186
24,TAMIL,1047,2,0.19102196752626552
24,GURMUKHI,580,0,0.0
24,Invalid/Partial,1306,0,0.0
24,TELUGU,1378,6,0.43541364296081275
24,FULLWIDTH,10,0,0.0
24,MODIFIER,20,0,0.0
24,HALFWIDTH,7,0,0.0
24,MASCULINE,2,0,0.0
24,FEMININE,1,0,0.0
24,MICRO,2,0,0.0
32,NonAlpha,6823,0,0.0
32,LATIN,108184,0,0.0
32,DEVANAGARI,4002,0,0.0
32,KANNADA,1413,0,0.0
32,MALAYALAM,1783,0,0.0
32,ORIYA,645,0,0.0
32,BENGALI,2149,0,0.0
32,GUJARATI,1720,0,0.0
32,TAMIL,1047,0,0.0
32,GURMUKHI,580,0,0.0
32,Invalid/Partial,1306,0,0.0
32,TELUGU,1378,0,0.0
32,FULLWIDTH,10,0,0.0
32,MODIFIER,20,0,0.0
32,HALFWIDTH,7,0,0.0
32,MASCULINE,2,0,0.0
32,FEMININE,1,0,0.0
32,MICRO,2,0,0.0
