step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.87182,11.85779,3.000e-06,3.672,0.000,8082
1,11.85940,11.85779,6.000e-06,3.652,0.000,28592
2,11.83114,11.85779,9.000e-06,3.280,0.000,27897
3,11.78586,11.85779,1.200e-05,3.216,0.000,27869
4,11.72150,11.85779,1.500e-05,3.160,0.000,28080
5,11.69387,11.85779,1.800e-05,2.480,0.000,27954
6,11.59869,11.85779,2.100e-05,2.587,0.000,27911
7,11.55536,11.85779,2.400e-05,2.186,0.000,27895
8,11.51687,11.85779,2.700e-05,1.951,0.000,27871
9,11.54236,11.85779,3.000e-05,1.585,0.000,27942
10,11.46181,11.85779,3.300e-05,1.499,0.000,28056
11,11.44554,11.85779,3.600e-05,1.386,0.000,27933
12,11.36641,11.85779,3.900e-05,1.498,0.000,27819
13,11.33429,11.85779,4.200e-05,1.490,0.000,27818
14,11.30526,11.85779,4.500e-05,1.537,0.000,27792
15,11.35774,11.85779,4.800e-05,1.185,0.000,27896
16,11.32556,11.85779,5.100e-05,1.229,0.000,27972
17,11.27360,11.85779,5.400e-05,1.247,0.000,27803
18,11.22414,11.85779,5.700e-05,1.295,0.000,27830
19,11.21074,11.85779,6.000e-05,1.240,0.000,27825
20,11.14074,11.85779,6.300e-05,1.459,0.000,27805
21,11.22703,11.85779,6.600e-05,1.144,0.000,27915
22,11.10321,11.85779,6.900e-05,1.296,0.000,27906
23,11.06076,11.85779,7.200e-05,1.326,0.000,27820
24,11.09394,11.85779,7.500e-05,1.130,0.000,27822
25,10.99832,11.85779,7.800e-05,1.315,0.000,27817
26,10.96647,11.85779,8.100e-05,1.228,0.000,27818
27,10.91843,11.85779,8.400e-05,1.291,0.000,27964
28,10.91132,11.85779,8.700e-05,1.196,0.000,27815
29,10.83820,11.85779,9.000e-05,1.243,0.000,27829
30,10.86181,11.85779,9.300e-05,1.100,0.000,27838
31,10.79381,11.85779,9.600e-05,1.070,0.000,27809
32,10.73278,11.85779,9.900e-05,1.137,0.000,27930
33,10.62049,11.85779,1.020e-04,1.310,0.000,27970
34,10.59533,11.85779,1.050e-04,1.158,0.000,27811
35,10.54097,11.85779,1.080e-04,1.133,0.000,27860
36,10.49589,11.85779,1.110e-04,1.251,0.000,27816
37,10.43739,11.85779,1.140e-04,1.204,0.000,27786
38,10.37070,11.85779,1.170e-04,1.210,0.000,27972
39,10.33475,11.85779,1.200e-04,1.212,0.000,27892
40,10.27519,11.85779,1.230e-04,1.142,0.000,27827
41,10.22298,11.85779,1.260e-04,1.240,0.000,27875
42,10.15803,11.85779,1.290e-04,1.138,0.000,27810
43,10.06535,11.85779,1.320e-04,1.239,0.000,27851
44,10.03361,11.85779,1.350e-04,1.167,0.000,27987
45,9.97613,11.85779,1.380e-04,1.114,0.000,27855
46,9.91397,11.85779,1.410e-04,1.152,0.000,27827
47,9.83206,11.85779,1.440e-04,1.106,0.000,27814
48,9.75428,11.85779,1.470e-04,1.184,0.000,27818
49,9.70502,11.85779,1.500e-04,1.171,0.000,27889
50,9.64716,11.85779,1.530e-04,1.177,0.000,27932
51,9.56718,11.85779,1.560e-04,1.198,0.000,27813
52,9.51082,11.85779,1.590e-04,1.068,0.000,27801
53,9.46059,11.85779,1.620e-04,1.098,0.000,27792
54,9.38962,11.85779,1.650e-04,1.120,0.000,27834
55,9.35693,11.85779,1.680e-04,1.150,0.000,27926
56,9.26906,11.85779,1.710e-04,1.044,0.000,27914
57,9.23651,11.85779,1.740e-04,1.138,0.000,27825
58,9.18811,11.85779,1.770e-04,1.136,0.000,27827
59,9.17391,11.85779,1.800e-04,1.167,0.000,27794
60,9.07320,11.85779,1.830e-04,1.145,0.000,27867
61,9.05067,11.85779,1.860e-04,1.296,0.000,27930
62,8.92190,11.85779,1.890e-04,1.204,0.000,27840
63,8.86269,11.85779,1.920e-04,0.991,0.000,27862
64,8.87437,11.85779,1.950e-04,0.949,0.000,27851
65,8.70459,11.85779,1.980e-04,1.038,0.000,27804
66,8.70573,11.85779,2.010e-04,1.095,0.000,27914
67,8.69407,11.85779,2.040e-04,0.968,0.000,27953
68,8.57768,11.85779,2.070e-04,1.102,0.000,27837
69,8.54807,11.85779,2.100e-04,1.107,0.000,27837
70,8.46446,11.85779,2.130e-04,0.911,0.000,27853
71,8.50805,11.85779,2.160e-04,1.064,0.000,27853
72,8.42735,11.85779,2.190e-04,0.978,0.000,27947
73,8.34958,11.85779,2.220e-04,0.926,0.000,27906
