step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.84659,11.82597,3.000e-06,5.502,0.801,8054
1,11.82706,11.82597,6.000e-06,5.313,0.747,28723
2,11.78331,11.82597,9.000e-06,4.737,0.713,28444
3,11.71495,11.82597,1.200e-05,4.071,0.568,28331
4,11.64588,11.82597,1.500e-05,3.536,0.395,28316
5,11.61621,11.82597,1.800e-05,2.752,0.346,28348
6,11.52444,11.82597,2.100e-05,2.721,0.274,28304
7,11.48927,11.82597,2.400e-05,2.221,0.195,28331
8,11.45104,11.82597,2.700e-05,1.988,0.169,28475
9,11.47784,11.82597,3.000e-05,1.630,0.158,28357
10,11.40136,11.82597,3.300e-05,1.554,0.131,28331
11,11.39042,11.82597,3.600e-05,1.374,0.098,28264
12,11.31759,11.82597,3.900e-05,1.630,0.153,28214
13,11.29242,11.82597,4.200e-05,1.483,0.080,28195
14,11.25666,11.82597,4.500e-05,1.495,0.080,28301
15,11.30387,11.82597,4.800e-05,1.266,0.121,28318
16,11.27607,11.82597,5.100e-05,1.245,0.079,28210
17,11.22033,11.82597,5.400e-05,1.271,0.073,28215
18,11.18153,11.82597,5.700e-05,1.300,0.053,28221
19,11.16928,11.82597,6.000e-05,1.367,0.147,28209
20,11.10174,11.82597,6.300e-05,1.466,0.095,28280
21,11.16983,11.82597,6.600e-05,1.176,0.112,28308
22,11.06508,11.82597,6.900e-05,1.321,0.090,28178
23,11.02045,11.82597,7.200e-05,1.315,0.065,28215
24,11.04590,11.82597,7.500e-05,1.117,0.043,28194
25,10.96570,11.82597,7.800e-05,1.327,0.056,28183
26,10.93316,11.82597,8.100e-05,1.236,0.070,28235
27,10.89122,11.82597,8.400e-05,1.287,0.039,28358
28,10.87331,11.82597,8.700e-05,1.206,0.095,28272
29,10.80193,11.82597,9.000e-05,1.219,0.050,28194
30,10.81961,11.82597,9.300e-05,1.055,0.043,28187
31,10.76357,11.82597,9.600e-05,1.093,0.068,28237
32,10.71143,11.82597,9.900e-05,1.166,0.070,28206
33,10.60767,11.82597,1.020e-04,1.315,0.056,28345
34,10.57499,11.82597,1.050e-04,1.234,0.082,28248
35,10.52286,11.82597,1.080e-04,1.168,0.055,28182
36,10.48437,11.82597,1.110e-04,1.269,0.053,28195
37,10.42704,11.82597,1.140e-04,1.284,0.099,28187
38,10.35446,11.82597,1.170e-04,1.230,0.060,28212
39,10.32268,11.82597,1.200e-04,1.235,0.049,28308
40,10.26213,11.82597,1.230e-04,1.193,0.069,28307
41,10.21840,11.82597,1.260e-04,1.291,0.088,28268
42,10.14981,11.82597,1.290e-04,1.205,0.093,28224
43,10.06820,11.82597,1.320e-04,1.318,0.101,28171
44,10.03377,11.82597,1.350e-04,1.261,0.132,28212
45,9.96700,11.82597,1.380e-04,1.144,0.080,28278
46,9.91193,11.82597,1.410e-04,1.152,0.066,28340
47,9.83012,11.82597,1.440e-04,1.162,0.093,28210
48,9.75329,11.82597,1.470e-04,1.201,0.060,28212
49,9.70808,11.82597,1.500e-04,1.236,0.091,28223
50,9.64532,11.82597,1.530e-04,1.192,0.064,28179
51,9.56582,11.82597,1.560e-04,1.253,0.093,28252
52,9.50354,11.82597,1.590e-04,1.092,0.050,28349
53,9.45989,11.82597,1.620e-04,1.132,0.067,28203
54,9.39289,11.82597,1.650e-04,1.169,0.076,28203
55,9.35211,11.82597,1.680e-04,1.171,0.057,28202
56,9.25725,11.82597,1.710e-04,1.103,0.089,28217
57,9.22917,11.82597,1.740e-04,1.150,0.075,28238
58,9.18032,11.82597,1.770e-04,1.169,0.079,28349
59,9.16884,11.82597,1.800e-04,1.190,0.083,28262
60,9.06958,11.82597,1.830e-04,1.234,0.119,28213
61,9.04274,11.82597,1.860e-04,1.305,0.084,28242
62,8.92042,11.82597,1.890e-04,1.279,0.128,28180
63,8.84052,11.82597,1.920e-04,1.022,0.071,28235
64,8.84867,11.82597,1.950e-04,1.111,0.136,28302
65,8.68659,11.82597,1.980e-04,1.075,0.114,28297
66,8.69064,11.82597,2.010e-04,1.129,0.084,28207
67,8.67487,11.82597,2.040e-04,1.016,0.090,28206
68,8.55083,11.82597,2.070e-04,1.158,0.085,28197
69,8.52862,11.82597,2.100e-04,1.155,0.063,28191
70,8.42920,11.82597,2.130e-04,0.969,0.087,28319
71,8.47657,11.82597,2.160e-04,1.099,0.092,28356
72,8.39183,11.82597,2.190e-04,1.110,0.132,28203
73,8.30846,11.82597,2.220e-04,0.941,0.066,28214
74,8.30343,11.82597,2.250e-04,1.041,0.140,28204
75,8.14296,11.82597,2.280e-04,0.890,0.096,28199
76,8.16076,11.82597,2.310e-04,0.985,0.126,28272
77,8.20077,11.82597,2.340e-04,1.000,0.066,28324
78,8.17406,11.82597,2.370e-04,1.141,0.222,28225
79,8.08195,11.82597,2.400e-04,0.872,0.070,28170
80,8.10887,11.82597,2.430e-04,0.861,0.089,28191
