step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86193,11.85142,3.000e-06,0.978,0.680,8020
1,11.85337,11.85142,6.000e-06,0.966,0.672,28738
2,11.84379,11.85142,9.000e-06,0.926,0.645,28290
3,11.82641,11.85142,1.200e-05,0.909,0.633,28299
4,11.81678,11.85142,1.500e-05,0.965,0.668,28306
5,11.79709,11.85142,1.800e-05,0.930,0.642,28404
6,11.76778,11.85142,2.100e-05,1.010,0.683,28215
7,11.75273,11.85142,2.400e-05,0.954,0.632,28254
8,11.71244,11.85142,2.700e-05,0.938,0.609,28200
9,11.70361,11.85142,3.000e-05,0.845,0.540,28242
10,11.65008,11.85142,3.300e-05,0.900,0.537,28300
11,11.62472,11.85142,3.600e-05,0.872,0.496,28385
12,11.56376,11.85142,3.900e-05,0.965,0.493,28283
13,11.52671,11.85142,4.200e-05,0.984,0.447,28237
14,11.47662,11.85142,4.500e-05,1.033,0.421,28229
15,11.47276,11.85142,4.800e-05,0.856,0.344,28262
16,11.42852,11.85142,5.100e-05,0.887,0.323,28218
17,11.36790,11.85142,5.400e-05,0.956,0.294,28399
18,11.33747,11.85142,5.700e-05,1.020,0.261,28329
19,11.29182,11.85142,6.000e-05,1.007,0.237,28234
20,11.23387,11.85142,6.300e-05,1.165,0.230,28251
21,11.26681,11.85142,6.600e-05,0.925,0.220,28267
22,11.15078,11.85142,6.900e-05,1.123,0.178,28239
23,11.10330,11.85142,7.200e-05,1.170,0.165,28349
24,11.12142,11.85142,7.500e-05,1.008,0.154,28366
25,11.03858,11.85142,7.800e-05,1.202,0.137,28227
26,11.01263,11.85142,8.100e-05,1.125,0.123,28255
27,10.96159,11.85142,8.400e-05,1.200,0.117,28194
28,10.94424,11.85142,8.700e-05,1.070,0.121,28239
29,10.87316,11.85142,9.000e-05,1.131,0.106,28308
30,10.88985,11.85142,9.300e-05,0.987,0.127,28407
31,10.83308,11.85142,9.600e-05,1.012,0.106,28258
32,10.78031,11.85142,9.900e-05,1.081,0.084,28237
33,10.68224,11.85142,1.020e-04,1.251,0.088,28215
34,10.64110,11.85142,1.050e-04,1.104,0.087,28241
35,10.59825,11.85142,1.080e-04,1.091,0.082,28217
36,10.55666,11.85142,1.110e-04,1.216,0.075,28413
37,10.49940,11.85142,1.140e-04,1.162,0.071,28302
38,10.43463,11.85142,1.170e-04,1.174,0.065,28233
39,10.40659,11.85142,1.200e-04,1.197,0.062,28241
40,10.34183,11.85142,1.230e-04,1.124,0.061,28264
41,10.30576,11.85142,1.260e-04,1.205,0.068,28232
42,10.23400,11.85142,1.290e-04,1.112,0.059,28349
43,10.15676,11.85142,1.320e-04,1.221,0.053,28360
44,10.12470,11.85142,1.350e-04,1.150,0.054,28220
45,10.05855,11.85142,1.380e-04,1.076,0.048,28204
46,10.00239,11.85142,1.410e-04,1.108,0.052,28248
47,9.92032,11.85142,1.440e-04,1.091,0.050,28243
48,9.84323,11.85142,1.470e-04,1.169,0.050,28276
49,9.79654,11.85142,1.500e-04,1.166,0.048,28369
50,9.74003,11.85142,1.530e-04,1.157,0.049,28216
51,9.66014,11.85142,1.560e-04,1.197,0.050,28282
52,9.59705,11.85142,1.590e-04,1.053,0.055,28225
53,9.55795,11.85142,1.620e-04,1.095,0.052,28232
54,9.48380,11.85142,1.650e-04,1.126,0.042,28277
55,9.43848,11.85142,1.680e-04,1.147,0.043,28377
56,9.34814,11.85142,1.710e-04,1.027,0.051,28291
57,9.31735,11.85142,1.740e-04,1.112,0.041,28247
58,9.27109,11.85142,1.770e-04,1.117,0.041,28190
59,9.24794,11.85142,1.800e-04,1.152,0.041,28226
60,9.14783,11.85142,1.830e-04,1.143,0.040,28258
61,9.11751,11.85142,1.860e-04,1.272,0.042,28299
62,8.99420,11.85142,1.890e-04,1.201,0.047,28265
63,8.92296,11.85142,1.920e-04,0.973,0.047,28224
64,8.92703,11.85142,1.950e-04,0.929,0.040,28255
65,8.76487,11.85142,1.980e-04,1.020,0.045,28221
66,8.75942,11.85142,2.010e-04,1.076,0.043,28229
67,8.73973,11.85142,2.040e-04,0.973,0.041,28274
68,8.61593,11.85142,2.070e-04,1.092,0.047,28362
69,8.59190,11.85142,2.100e-04,1.125,0.045,28216
70,8.50119,11.85142,2.130e-04,0.899,0.047,28236
71,8.53258,11.85142,2.160e-04,1.053,0.040,28184
72,8.44584,11.85142,2.190e-04,0.988,0.041,28225
73,8.36836,11.85142,2.220e-04,0.912,0.049,28308
74,8.35372,11.85142,2.250e-04,0.927,0.039,28407
75,8.20226,11.85142,2.280e-04,0.832,0.048,28221
76,8.20406,11.85142,2.310e-04,0.888,0.047,28226
77,8.23905,11.85142,2.340e-04,0.978,0.049,28219
78,8.20326,11.85142,2.370e-04,0.920,0.058,28261
79,8.12581,11.85142,2.400e-04,0.829,0.051,28242
80,8.14373,11.85142,2.430e-04,0.798,0.058,28406
81,8.02446,11.85142,2.460e-04,0.811,0.055,28250
82,7.98482,11.85142,2.490e-04,0.793,0.091,28224
83,7.99774,11.85142,2.520e-04,0.732,0.071,28241
84,7.93499,11.85142,2.550e-04,0.762,0.058,28228
85,7.83585,11.85142,2.580e-04,0.707,0.097,28194
86,7.97634,11.85142,2.610e-04,0.704,0.096,28365
87,7.90333,11.85142,2.640e-04,0.635,0.104,28303
88,7.79146,11.85142,2.670e-04,0.586,0.082,28245
89,7.85562,11.85142,2.700e-04,0.545,0.110,28248
90,7.67141,11.85142,2.730e-04,0.526,0.133,28235
91,7.68787,11.85142,2.760e-04,0.537,0.179,28220
92,7.67516,11.85142,2.790e-04,0.488,0.083,28319
93,7.63718,11.85142,2.820e-04,0.553,0.202,28362
94,7.64601,11.85142,2.850e-04,0.454,0.122,28249
95,7.63030,11.85142,2.880e-04,0.450,0.131,28220
96,7.61500,11.85142,2.910e-04,0.425,0.104,28229
97,7.56705,11.85142,2.940e-04,0.465,0.160,28240
98,7.43675,11.85142,2.970e-04,0.419,0.164,28231
99,7.59058,11.85142,3.000e-04,0.391,0.204,28394
100,7.47520,11.85142,3.030e-04,0.745,0.442,28279
101,7.55012,11.85142,3.060e-04,0.371,0.162,28284
102,7.48053,11.85142,3.090e-04,0.482,0.291,28239
103,7.52979,11.85142,3.120e-04,0.333,0.162,28239
104,7.49341,11.85142,3.150e-04,0.635,0.374,28227
105,7.50199,11.85142,3.180e-04,0.374,0.163,28383
106,7.39190,11.85142,3.210e-04,0.345,0.182,28308
107,7.51911,11.85142,3.240e-04,0.379,0.231,28226
108,7.34742,11.85142,3.270e-04,0.379,0.197,28263
109,7.38279,11.85142,3.300e-04,0.541,0.301,28224
110,7.40989,11.85142,3.330e-04,0.355,0.211,28254
