step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86346,11.85304,3.000e-06,0.923,0.678,8030
1,11.85515,11.85304,6.000e-06,0.911,0.669,28737
2,11.84635,11.85304,9.000e-06,0.876,0.642,28277
3,11.83123,11.85304,1.200e-05,0.859,0.631,28299
4,11.82421,11.85304,1.500e-05,0.911,0.667,28298
5,11.80595,11.85304,1.800e-05,0.883,0.643,28293
6,11.78161,11.85304,2.100e-05,0.957,0.689,28351
7,11.76950,11.85304,2.400e-05,0.904,0.640,28427
8,11.73320,11.85304,2.700e-05,0.889,0.622,28327
9,11.72496,11.85304,3.000e-05,0.806,0.556,28300
10,11.67775,11.85304,3.300e-05,0.857,0.563,28319
11,11.65465,11.85304,3.600e-05,0.831,0.526,28337
12,11.60120,11.85304,3.900e-05,0.916,0.536,28307
13,11.56669,11.85304,4.200e-05,0.930,0.496,28449
14,11.51999,11.85304,4.500e-05,0.975,0.475,28391
15,11.51280,11.85304,4.800e-05,0.812,0.391,28307
16,11.47149,11.85304,5.100e-05,0.842,0.374,28304
17,11.41329,11.85304,5.400e-05,0.905,0.348,28290
18,11.38635,11.85304,5.700e-05,0.957,0.312,28312
19,11.33876,11.85304,6.000e-05,0.949,0.285,28389
20,11.28517,11.85304,6.300e-05,1.095,0.281,28425
21,11.30788,11.85304,6.600e-05,0.882,0.260,28395
22,11.19284,11.85304,6.900e-05,1.074,0.220,28314
23,11.14359,11.85304,7.200e-05,1.123,0.201,28282
24,11.15500,11.85304,7.500e-05,0.975,0.181,28307
25,11.07206,11.85304,7.800e-05,1.168,0.162,28372
26,11.04495,11.85304,8.100e-05,1.095,0.144,28419
27,10.99062,11.85304,8.400e-05,1.176,0.136,28353
28,10.97055,11.85304,8.700e-05,1.051,0.135,28188
29,10.89852,11.85304,9.000e-05,1.117,0.120,28216
30,10.91206,11.85304,9.300e-05,0.980,0.144,28184
31,10.85443,11.85304,9.600e-05,1.006,0.122,28219
32,10.80118,11.85304,9.900e-05,1.075,0.096,28331
33,10.70204,11.85304,1.020e-04,1.247,0.094,28278
34,10.65933,11.85304,1.050e-04,1.103,0.093,28156
35,10.61673,11.85304,1.080e-04,1.090,0.083,28174
36,10.57488,11.85304,1.110e-04,1.215,0.082,28206
37,10.51727,11.85304,1.140e-04,1.162,0.077,28179
38,10.45223,11.85304,1.170e-04,1.174,0.072,28309
39,10.42322,11.85304,1.200e-04,1.196,0.066,28299
40,10.35767,11.85304,1.230e-04,1.122,0.066,28185
41,10.32164,11.85304,1.260e-04,1.202,0.069,28235
42,10.25015,11.85304,1.290e-04,1.110,0.066,28166
43,10.17287,11.85304,1.320e-04,1.219,0.059,28154
44,10.14040,11.85304,1.350e-04,1.148,0.061,28271
45,10.07324,11.85304,1.380e-04,1.074,0.054,28356
46,10.01776,11.85304,1.410e-04,1.106,0.058,28200
47,9.93436,11.85304,1.440e-04,1.090,0.051,28154
48,9.85749,11.85304,1.470e-04,1.168,0.049,28169
49,9.81060,11.85304,1.500e-04,1.166,0.049,28215
50,9.75435,11.85304,1.530e-04,1.158,0.046,28214
51,9.67593,11.85304,1.560e-04,1.199,0.050,28369
52,9.61127,11.85304,1.590e-04,1.055,0.059,28205
53,9.57232,11.85304,1.620e-04,1.098,0.058,28226
54,9.49866,11.85304,1.650e-04,1.129,0.044,28155
55,9.45358,11.85304,1.680e-04,1.150,0.043,28157
56,9.36140,11.85304,1.710e-04,1.029,0.048,28202
57,9.33257,11.85304,1.740e-04,1.115,0.041,28344
58,9.28546,11.85304,1.770e-04,1.120,0.041,28249
59,9.26406,11.85304,1.800e-04,1.155,0.040,28210
60,9.16213,11.85304,1.830e-04,1.147,0.039,28161
61,9.13153,11.85304,1.860e-04,1.277,0.040,28198
62,9.00895,11.85304,1.890e-04,1.206,0.045,28164
63,8.93562,11.85304,1.920e-04,0.975,0.049,28350
64,8.93847,11.85304,1.950e-04,0.932,0.039,28289
65,8.77638,11.85304,1.980e-04,1.024,0.041,28179
66,8.77199,11.85304,2.010e-04,1.082,0.041,28207
67,8.75058,11.85304,2.040e-04,0.978,0.040,28167
68,8.62827,11.85304,2.070e-04,1.098,0.044,28185
69,8.60348,11.85304,2.100e-04,1.130,0.043,28275
70,8.51093,11.85304,2.130e-04,0.900,0.043,28344
71,8.54488,11.85304,2.160e-04,1.053,0.040,28183
72,8.45733,11.85304,2.190e-04,0.986,0.041,28160
