step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86094,11.86179,3.000e-06,0.937,0.668,427
1,11.85962,11.86179,6.000e-06,0.920,0.656,3502
2,11.85719,11.86179,9.000e-06,0.887,0.633,3021
3,11.85166,11.86179,1.200e-05,0.872,0.624,3558
4,11.84475,11.86179,1.500e-05,0.924,0.657,3538
5,11.82555,11.86179,1.800e-05,0.892,0.640,3467
6,11.81879,11.86179,2.100e-05,0.975,0.687,3477
7,11.79560,11.86179,2.400e-05,0.920,0.644,3316
8,11.78111,11.86179,2.700e-05,0.911,0.642,2726
9,11.76548,11.86179,3.000e-05,0.826,0.584,3129
10,11.73402,11.86179,3.300e-05,0.887,0.611,2938
11,11.71328,11.86179,3.600e-05,0.859,0.584,3361
12,11.68639,11.86179,3.900e-05,0.956,0.626,3616
13,11.66285,11.86179,4.200e-05,0.970,0.611,3622
14,11.62550,11.86179,4.500e-05,1.011,0.612,3408
15,11.60388,11.86179,4.800e-05,0.846,0.512,3488
16,11.56145,11.86179,5.100e-05,0.870,0.500,3507
17,11.50775,11.86179,5.400e-05,0.926,0.491,3515
18,11.48578,11.86179,5.700e-05,0.972,0.466,3523
19,11.43630,11.86179,6.000e-05,0.954,0.422,3498
20,11.38792,11.86179,6.300e-05,1.092,0.429,3704
21,11.39394,11.86179,6.600e-05,0.891,0.360,3835
22,11.29032,11.86179,6.900e-05,1.067,0.335,3853
23,11.23892,11.86179,7.200e-05,1.114,0.303,3549
24,11.24503,11.86179,7.500e-05,0.973,0.256,3561
25,11.16303,11.86179,7.800e-05,1.162,0.236,3653
26,11.12568,11.86179,8.100e-05,1.098,0.203,3763
27,11.06905,11.86179,8.400e-05,1.179,0.189,3778
28,11.04644,11.86179,8.700e-05,1.061,0.181,3778
29,10.97394,11.86179,9.000e-05,1.127,0.160,3776
30,10.99116,11.86179,9.300e-05,1.001,0.206,3773
31,10.92785,11.86179,9.600e-05,1.024,0.172,3793
32,10.86846,11.86179,9.900e-05,1.089,0.129,3571
33,10.77039,11.86179,1.020e-04,1.262,0.129,3571
34,10.73793,11.86179,1.050e-04,1.120,0.135,3567
35,10.68746,11.86179,1.080e-04,1.107,0.123,3571
36,10.64458,11.86179,1.110e-04,1.233,0.120,3574
37,10.58368,11.86179,1.140e-04,1.181,0.118,3573
38,10.51949,11.86179,1.170e-04,1.190,0.119,3569
39,10.48299,11.86179,1.200e-04,1.211,0.104,3690
40,10.42451,11.86179,1.230e-04,1.137,0.111,3774
41,10.37204,11.86179,1.260e-04,1.218,0.086,3600
42,10.30841,11.86179,1.290e-04,1.124,0.094,3640
43,10.22664,11.86179,1.320e-04,1.232,0.079,3354
44,10.19659,11.86179,1.350e-04,1.158,0.074,2949
45,10.12702,11.86179,1.380e-04,1.084,0.067,2499
46,10.07349,11.86179,1.410e-04,1.116,0.081,3010
47,9.99235,11.86179,1.440e-04,1.097,0.076,2688
48,9.91557,11.86179,1.470e-04,1.174,0.088,3445
49,9.86741,11.86179,1.500e-04,1.172,0.084,3459
50,9.80112,11.86179,1.530e-04,1.165,0.070,3699
51,9.72781,11.86179,1.560e-04,1.205,0.064,3714
52,9.65868,11.86179,1.590e-04,1.061,0.054,3714
53,9.61988,11.86179,1.620e-04,1.105,0.053,3682
54,9.55217,11.86179,1.650e-04,1.137,0.054,3465
55,9.49582,11.86179,1.680e-04,1.159,0.051,3474
56,9.40903,11.86179,1.710e-04,1.038,0.053,3647
57,9.37649,11.86179,1.740e-04,1.126,0.057,3721
58,9.33007,11.86179,1.770e-04,1.133,0.058,3725
59,9.30616,11.86179,1.800e-04,1.166,0.058,3720
60,9.20591,11.86179,1.830e-04,1.157,0.053,3716
61,9.17701,11.86179,1.860e-04,1.289,0.055,3705
62,9.05434,11.86179,1.890e-04,1.218,0.062,3728
63,8.99043,11.86179,1.920e-04,0.980,0.052,3711
64,8.98867,11.86179,1.950e-04,0.939,0.050,3707
65,8.82831,11.86179,1.980e-04,1.032,0.063,3714
66,8.82007,11.86179,2.010e-04,1.095,0.060,3715
67,8.80465,11.86179,2.040e-04,0.990,0.051,3712
68,8.67896,11.86179,2.070e-04,1.113,0.050,3716
69,8.64625,11.86179,2.100e-04,1.146,0.051,3716
70,8.57419,11.86179,2.130e-04,0.908,0.057,3721
71,8.58828,11.86179,2.160e-04,1.067,0.054,3724
72,8.50837,11.86179,2.190e-04,0.996,0.064,3714
73,8.43159,11.86179,2.220e-04,0.915,0.058,3711
74,8.41828,11.86179,2.250e-04,0.927,0.055,3719
75,8.27448,11.86179,2.280e-04,0.834,0.073,3716
76,8.27274,11.86179,2.310e-04,0.889,0.072,3718
77,8.30450,11.86179,2.340e-04,0.977,0.070,3713
78,8.26920,11.86179,2.370e-04,0.910,0.073,3719
79,8.19618,11.86179,2.400e-04,0.822,0.082,3721
80,8.21292,11.86179,2.430e-04,0.795,0.069,3714
81,8.09497,11.86179,2.460e-04,0.809,0.069,3677
82,8.05834,11.86179,2.490e-04,0.785,0.079,3715
83,8.07009,11.86179,2.520e-04,0.734,0.083,3700
84,8.00742,11.86179,2.550e-04,0.761,0.079,3691
85,7.91335,11.86179,2.580e-04,0.693,0.108,3504
86,8.04603,11.86179,2.610e-04,0.718,0.108,3522
87,7.97506,11.86179,2.640e-04,0.650,0.098,3741
88,7.87067,11.86179,2.670e-04,0.584,0.100,3720
89,7.93305,11.86179,2.700e-04,0.517,0.124,3720
90,7.75318,11.86179,2.730e-04,0.537,0.149,3719
91,7.76013,11.86179,2.760e-04,0.523,0.106,3645
92,7.75429,11.86179,2.790e-04,0.478,0.094,3513
93,7.71394,11.86179,2.820e-04,0.473,0.106,3516
94,7.71924,11.86179,2.850e-04,0.457,0.115,3518
95,7.69932,11.86179,2.880e-04,0.445,0.090,3631
96,7.68679,11.86179,2.910e-04,0.426,0.131,3713
97,7.63574,11.86179,2.940e-04,0.456,0.161,3715
98,7.50637,11.86179,2.970e-04,0.420,0.113,3721
99,7.65478,11.86179,3.000e-04,0.389,0.168,3715
