step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.89641,11.84807,3.000e-06,6.671,0.016,5940
1,11.83671,11.84807,6.000e-06,7.200,0.017,20011
2,11.75115,11.84807,9.000e-06,5.975,0.015,19985
3,11.64917,11.84807,1.200e-05,4.276,0.010,20035
4,11.58142,11.84807,1.500e-05,3.420,0.008,20037
5,11.49833,11.84807,1.800e-05,2.936,0.006,20029
6,11.45392,11.84807,2.100e-05,2.294,0.005,19987
7,11.39184,11.84807,2.400e-05,1.924,0.004,20081
8,11.36941,11.84807,2.700e-05,1.660,0.003,20063
9,11.32878,11.84807,3.000e-05,1.503,0.003,20030
10,11.32651,11.84807,3.300e-05,1.543,0.003,20027
11,11.28550,11.84807,3.600e-05,1.445,0.002,20043
12,11.22952,11.84807,3.900e-05,1.418,0.002,20053
13,11.28800,11.84807,4.200e-05,1.236,0.002,20006
14,11.15707,11.84807,4.500e-05,1.503,0.002,20040
15,11.23202,11.84807,4.800e-05,1.209,0.001,20054
16,11.19204,11.84807,5.100e-05,1.272,0.001,20046
17,11.15868,11.84807,5.400e-05,1.173,0.001,20008
18,11.08766,11.84807,5.700e-05,1.239,0.001,20074
19,11.08803,11.84807,6.000e-05,1.165,0.001,20071
20,11.01353,11.84807,6.300e-05,1.254,0.001,20049
21,10.99432,11.84807,6.600e-05,1.190,0.001,19687
22,10.92138,11.84807,6.900e-05,1.222,0.001,20062
23,10.84384,11.84807,7.200e-05,1.310,0.002,20044
24,10.77853,11.84807,7.500e-05,1.337,0.001,19996
25,10.81925,11.84807,7.800e-05,1.211,0.002,20055
26,10.76173,11.84807,8.100e-05,1.141,0.002,20059
27,10.69866,11.84807,8.400e-05,1.128,0.001,20036
28,10.59944,11.84807,8.700e-05,1.305,0.003,20006
29,10.59095,11.84807,9.000e-05,1.133,0.002,20063
30,10.45174,11.84807,9.300e-05,1.384,0.004,20061
31,10.44090,11.84807,9.600e-05,1.276,0.003,20052
32,10.36509,11.84807,9.900e-05,1.212,0.002,20031
33,10.32902,11.84807,1.020e-04,1.158,0.002,20069
34,10.22426,11.84807,1.050e-04,1.201,0.002,20047
35,10.14792,11.84807,1.080e-04,1.219,0.002,19998
36,10.11837,11.84807,1.110e-04,1.182,0.002,20039
37,10.04598,11.84807,1.140e-04,1.283,0.002,20067
