step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.89765,11.84478,3.000e-06,7.077,0.000,5915
1,11.83276,11.84478,6.000e-06,7.561,0.000,20027
2,11.74015,11.84478,9.000e-06,6.043,0.000,20049
3,11.64811,11.84478,1.200e-05,4.293,0.000,20036
4,11.58070,11.84478,1.500e-05,3.440,0.000,20060
5,11.49799,11.84478,1.800e-05,2.910,0.000,19998
6,11.45145,11.84478,2.100e-05,2.273,0.000,19926
7,11.39053,11.84478,2.400e-05,1.907,0.000,19975
8,11.37015,11.84478,2.700e-05,1.662,0.000,20011
9,11.32937,11.84478,3.000e-05,1.504,0.000,19989
10,11.32644,11.84478,3.300e-05,1.544,0.000,19962
11,11.28661,11.84478,3.600e-05,1.452,0.000,20004
12,11.23020,11.84478,3.900e-05,1.421,0.000,20000
13,11.28803,11.84478,4.200e-05,1.238,0.000,19929
14,11.15768,11.84478,4.500e-05,1.503,0.000,19984
15,11.23077,11.84478,4.800e-05,1.200,0.000,19984
16,11.19271,11.84478,5.100e-05,1.262,0.000,19981
17,11.15886,11.84478,5.400e-05,1.172,0.000,19935
18,11.08825,11.84478,5.700e-05,1.236,0.000,19987
19,11.08831,11.84478,6.000e-05,1.161,0.000,19984
20,11.01247,11.84478,6.300e-05,1.244,0.000,19881
21,10.99452,11.84478,6.600e-05,1.187,0.000,19518
22,10.92250,11.84478,6.900e-05,1.221,0.000,19777
23,10.84480,11.84478,7.200e-05,1.309,0.000,19776
24,10.77894,11.84478,7.500e-05,1.336,0.000,19777
25,10.81851,11.84478,7.800e-05,1.201,0.000,19784
26,10.75897,11.84478,8.100e-05,1.141,0.000,19755
27,10.69323,11.84478,8.400e-05,1.127,0.000,19724
28,10.59669,11.84478,8.700e-05,1.316,0.000,19822
29,10.59211,11.84478,9.000e-05,1.173,0.000,19964
30,10.44991,11.84478,9.300e-05,1.533,0.000,19918
31,10.42876,11.84478,9.600e-05,1.267,0.000,19994
32,10.35846,11.84478,9.900e-05,1.225,0.000,20007
33,10.32257,11.84478,1.020e-04,1.165,0.000,19987
34,10.21596,11.84478,1.050e-04,1.218,0.000,19993
35,10.13479,11.84478,1.080e-04,1.221,0.000,20003
36,10.10022,11.84478,1.110e-04,1.164,0.000,20001
37,10.02860,11.84478,1.140e-04,1.278,0.000,19923
38,9.96777,11.84478,1.170e-04,1.146,0.000,19992
39,9.93887,11.84478,1.200e-04,1.022,0.000,19991
40,9.82819,11.84478,1.230e-04,1.132,0.000,19979
41,9.78676,11.84478,1.260e-04,1.034,0.000,19627
42,9.67857,11.84478,1.290e-04,1.117,0.000,19988
