step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86454,11.86023,3.000e-06,0.978,0.631,5840
1,11.84915,11.86023,6.000e-06,1.026,0.657,19928
2,11.85172,11.86023,9.000e-06,0.997,0.641,19680
3,11.82702,11.86023,1.200e-05,1.009,0.643,19634
4,11.81571,11.86023,1.500e-05,0.972,0.621,19516
5,11.77869,11.86023,1.800e-05,1.018,0.642,19596
6,11.74998,11.86023,2.100e-05,0.982,0.611,19617
7,11.70380,11.86023,2.400e-05,1.002,0.605,19523
8,11.66579,11.86023,2.700e-05,1.007,0.591,19605
9,11.61130,11.86023,3.000e-05,1.024,0.572,19675
10,11.57620,11.86023,3.300e-05,0.970,0.517,19491
11,11.51115,11.86023,3.600e-05,1.009,0.484,19594
12,11.43110,11.86023,3.900e-05,1.067,0.457,19594
13,11.44382,11.86023,4.200e-05,0.930,0.372,19499
14,11.31307,11.86023,4.500e-05,1.159,0.363,19606
15,11.32008,11.86023,4.800e-05,0.966,0.292,19668
16,11.26830,11.86023,5.100e-05,1.013,0.283,19525
17,11.22894,11.86023,5.400e-05,1.009,0.235,19618
18,11.15008,11.86023,5.700e-05,1.105,0.210,19625
19,11.13543,11.86023,6.000e-05,1.047,0.200,19534
20,11.06380,11.86023,6.300e-05,1.134,0.186,19599
21,11.03343,11.86023,6.600e-05,1.104,0.174,19603
22,10.95502,11.86023,6.900e-05,1.153,0.179,19462
23,10.89308,11.86023,7.200e-05,1.237,0.162,19540
24,10.82581,11.86023,7.500e-05,1.273,0.148,19557
25,10.85186,11.86023,7.800e-05,1.122,0.177,19500
26,10.80782,11.86023,8.100e-05,1.067,0.148,19516
27,10.75170,11.86023,8.400e-05,1.082,0.145,19554
28,10.65652,11.86023,8.700e-05,1.238,0.125,19508
29,10.63567,11.86023,9.000e-05,1.075,0.120,19493
30,10.50335,11.86023,9.300e-05,1.320,0.112,19552
31,10.50044,11.86023,9.600e-05,1.201,0.114,19505
32,10.43210,11.86023,9.900e-05,1.178,0.122,19486
33,10.40049,11.86023,1.020e-04,1.120,0.157,19558
34,10.30389,11.86023,1.050e-04,1.160,0.137,19541
35,10.21814,11.86023,1.080e-04,1.179,0.107,19459
36,10.19240,11.86023,1.110e-04,1.145,0.102,19559
37,10.12644,11.86023,1.140e-04,1.257,0.089,19548
38,10.04977,11.86023,1.170e-04,1.143,0.096,19461
39,10.02223,11.86023,1.200e-04,1.022,0.078,19575
40,9.92082,11.86023,1.230e-04,1.143,0.091,19540
41,9.87176,11.86023,1.260e-04,1.031,0.097,19484
42,9.77411,11.86023,1.290e-04,1.119,0.084,19530
43,9.76816,11.86023,1.320e-04,0.920,0.091,19558
44,9.62563,11.86023,1.350e-04,1.067,0.088,19444
45,9.52189,11.86023,1.380e-04,1.184,0.096,19545
46,9.47803,11.86023,1.410e-04,1.107,0.111,19582
47,9.38363,11.86023,1.440e-04,1.151,0.096,19470
48,9.36512,11.86023,1.470e-04,1.048,0.088,19529
49,9.27834,11.86023,1.500e-04,1.052,0.074,19554
50,9.16884,11.86023,1.530e-04,1.167,0.077,19476
51,9.14293,11.86023,1.560e-04,0.950,0.073,19575
52,9.07742,11.86023,1.590e-04,0.925,0.083,19561
53,9.00256,11.86023,1.620e-04,0.984,0.087,19494
54,8.92536,11.86023,1.650e-04,0.981,0.122,19516
55,8.85619,11.86023,1.680e-04,0.851,0.090,19559
56,8.82766,11.86023,1.710e-04,0.748,0.090,19485
57,8.79083,11.86023,1.740e-04,0.945,0.098,19508
58,8.72576,11.86023,1.770e-04,0.831,0.075,19562
59,8.58538,11.86023,1.800e-04,0.826,0.085,19531
60,8.59579,11.86023,1.830e-04,0.866,0.091,19488
