step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.89810,11.83721,3.000e-06,8.028,0.736,5829
1,11.82090,11.83721,6.000e-06,8.658,0.780,19749
2,11.72526,11.83721,9.000e-06,6.448,0.511,19686
3,11.62546,11.83721,1.200e-05,4.619,0.305,19654
4,11.55320,11.83721,1.500e-05,3.711,0.247,19832
5,11.47455,11.83721,1.800e-05,3.101,0.183,19846
6,11.42984,11.83721,2.100e-05,2.414,0.128,19838
7,11.35710,11.83721,2.400e-05,2.086,0.137,19865
8,11.33475,11.83721,2.700e-05,1.912,0.138,19878
9,11.29349,11.83721,3.000e-05,1.707,0.117,19852
10,11.27977,11.83721,3.300e-05,1.839,0.130,19795
11,11.24602,11.83721,3.600e-05,1.720,0.126,19866
12,11.17759,11.83721,3.900e-05,1.679,0.126,19855
13,11.22894,11.83721,4.200e-05,1.437,0.119,19805
14,11.11017,11.83721,4.500e-05,1.654,0.134,19834
15,11.15556,11.83721,4.800e-05,1.378,0.124,19876
16,11.11664,11.83721,5.100e-05,1.369,0.115,19820
17,11.09273,11.83721,5.400e-05,1.318,0.109,19833
18,11.02996,11.83721,5.700e-05,1.420,0.146,19870
19,11.00097,11.83721,6.000e-05,1.256,0.097,19883
20,10.92846,11.83721,6.300e-05,1.303,0.094,19829
21,10.91482,11.83721,6.600e-05,1.284,0.100,19504
22,10.83414,11.83721,6.900e-05,1.386,0.121,19854
23,10.77047,11.83721,7.200e-05,1.516,0.133,19806
24,10.72130,11.83721,7.500e-05,1.443,0.104,19859
25,10.73323,11.83721,7.800e-05,1.550,0.171,19862
26,10.69321,11.83721,8.100e-05,1.350,0.139,19803
27,10.63230,11.83721,8.400e-05,1.222,0.079,19840
28,10.54340,11.83721,8.700e-05,1.390,0.114,19869
29,10.53076,11.83721,9.000e-05,1.278,0.131,19837
30,10.39362,11.83721,9.300e-05,1.501,0.133,19843
31,10.38275,11.83721,9.600e-05,1.279,0.082,19906
32,10.31313,11.83721,9.900e-05,1.298,0.095,19867
33,10.28268,11.83721,1.020e-04,1.348,0.164,19798
34,10.18576,11.83721,1.050e-04,1.242,0.089,19867
35,10.09772,11.83721,1.080e-04,1.371,0.151,19865
36,10.06815,11.83721,1.110e-04,1.167,0.075,19808
37,10.00958,11.83721,1.140e-04,1.687,0.242,19843
38,9.93029,11.83721,1.170e-04,1.243,0.114,19858
39,9.90734,11.83721,1.200e-04,1.145,0.118,19837
40,9.79504,11.83721,1.230e-04,1.147,0.053,19842
41,9.74367,11.83721,1.260e-04,1.124,0.117,19524
42,9.64938,11.83721,1.290e-04,1.161,0.099,19870
43,9.64449,11.83721,1.320e-04,1.003,0.082,19852
44,9.50232,11.83721,1.350e-04,1.159,0.112,19866
45,9.39841,11.83721,1.380e-04,1.184,0.079,19875
46,9.35910,11.83721,1.410e-04,1.323,0.208,19797
47,9.27094,11.83721,1.440e-04,1.267,0.172,19886
48,9.25357,11.83721,1.470e-04,1.082,0.074,19855
49,9.16569,11.83721,1.500e-04,1.088,0.091,19807
50,9.05842,11.83721,1.530e-04,1.168,0.074,19851
51,9.03096,11.83721,1.560e-04,0.994,0.092,19864
52,8.95989,11.83721,1.590e-04,0.953,0.074,19840
53,8.89006,11.83721,1.620e-04,1.011,0.081,19845
54,8.81566,11.83721,1.650e-04,1.035,0.084,19894
55,8.73964,11.83721,1.680e-04,0.932,0.095,19874
56,8.69968,11.83721,1.710e-04,0.790,0.060,19788
57,8.68960,11.83721,1.740e-04,0.967,0.044,19874
58,8.61590,11.83721,1.770e-04,0.847,0.048,19868
59,8.47433,11.83721,1.800e-04,0.836,0.061,19801
60,8.49491,11.83721,1.830e-04,0.847,0.060,19859
61,8.44358,11.83721,1.860e-04,0.983,0.083,19527
62,8.39338,11.83721,1.890e-04,0.843,0.073,19809
63,8.31702,11.83721,1.920e-04,0.848,0.080,19827
64,8.27718,11.83721,1.950e-04,0.812,0.099,19875
65,8.10524,11.83721,1.980e-04,0.784,0.115,19847
66,8.15131,11.83721,2.010e-04,0.875,0.146,19847
67,8.08626,11.83721,2.040e-04,1.047,0.181,19893
68,8.09082,11.83721,2.070e-04,0.670,0.093,19856
69,7.97541,11.83721,2.100e-04,0.721,0.090,19815
70,7.99964,11.83721,2.130e-04,0.916,0.191,19870
71,8.05675,11.83721,2.160e-04,2.199,0.470,19857
72,7.85581,11.83721,2.190e-04,0.727,0.133,19805
73,7.78852,11.83721,2.220e-04,0.788,0.107,19862
74,7.92739,11.83721,2.250e-04,0.762,0.102,19860
75,7.77472,11.83721,2.280e-04,0.712,0.113,19842
76,7.78612,11.83721,2.310e-04,0.751,0.208,19820
77,7.70208,11.83721,2.340e-04,0.614,0.105,19891
78,7.68194,11.83721,2.370e-04,0.588,0.102,19882
79,7.63441,11.83721,2.400e-04,0.508,0.114,19822
80,7.68274,11.83721,2.430e-04,0.543,0.087,19878
81,7.66366,11.83721,2.460e-04,0.631,0.128,19552
82,7.70213,11.83721,2.490e-04,0.522,0.085,19791
83,7.62973,11.83721,2.520e-04,0.468,0.089,19876
84,7.60119,11.83721,2.550e-04,0.524,0.100,19861
85,7.53830,11.83721,2.580e-04,0.607,0.125,19813
86,7.47292,11.83721,2.610e-04,0.568,0.168,19847
87,7.51888,11.83721,2.640e-04,0.487,0.101,19866
88,7.47161,11.83721,2.670e-04,0.519,0.147,19843
89,7.41441,11.83721,2.700e-04,0.612,0.130,19846
90,7.50235,11.83721,2.730e-04,0.520,0.137,19876
91,7.48738,11.83721,2.760e-04,0.556,0.118,19884
92,7.45713,11.83721,2.790e-04,0.469,0.124,19785
93,7.44038,11.83721,2.820e-04,0.671,0.195,19865
94,7.42708,11.83721,2.850e-04,0.494,0.138,19869
95,7.33176,11.83721,2.880e-04,0.588,0.166,19812
96,7.32051,11.83721,2.910e-04,0.523,0.169,19831
97,7.30487,11.83721,2.940e-04,0.389,0.091,19867
98,7.31931,11.83721,2.970e-04,0.504,0.184,19837
99,7.35072,11.83721,3.000e-04,0.580,0.195,19823
100,7.23711,11.83721,3.030e-04,0.478,0.143,19876
101,7.33890,11.83721,3.060e-04,0.516,0.119,19574
102,7.19329,11.83721,3.090e-04,0.524,0.166,19855
103,7.25945,11.83721,3.120e-04,0.535,0.167,19877
104,7.15648,11.83721,3.150e-04,0.516,0.160,19870
105,7.28673,11.83721,3.180e-04,0.904,0.433,19799
106,7.32089,11.83721,3.210e-04,0.960,0.428,19869
107,7.27179,11.83721,3.240e-04,0.658,0.224,19863
108,7.24659,11.83721,3.270e-04,1.025,0.387,19825
109,7.12985,11.83721,3.300e-04,0.659,0.215,19830
110,7.17589,11.83721,3.330e-04,0.522,0.207,19853
111,7.14154,11.83721,3.360e-04,0.671,0.246,19855
112,7.14859,11.83721,3.390e-04,0.477,0.184,19825
113,7.11186,11.83721,3.420e-04,0.553,0.188,19878
114,7.21672,11.83721,3.450e-04,0.794,0.273,19904
115,7.07743,11.83721,3.480e-04,0.579,0.174,19800
116,7.14678,11.83721,3.510e-04,1.374,0.436,19860
117,7.17552,11.83721,3.540e-04,0.615,0.229,19853
118,7.10173,11.83721,3.570e-04,0.554,0.218,19809
119,7.13320,11.83721,3.600e-04,0.685,0.295,19854
120,7.13710,11.83721,3.630e-04,0.645,0.268,19873
121,7.14456,11.83721,3.660e-04,0.690,0.361,19536
122,7.20708,11.83721,3.690e-04,0.636,0.250,19848
123,7.09574,11.83721,3.720e-04,0.536,0.212,19871
124,7.07575,11.83721,3.750e-04,0.514,0.190,19850
125,7.18244,11.83721,3.780e-04,0.607,0.187,19845
126,7.08387,11.83721,3.810e-04,0.881,0.488,19893
127,7.01751,11.83721,3.840e-04,0.649,0.289,19863
128,7.07720,11.83721,3.870e-04,1.102,0.508,19769
129,7.07356,11.83721,3.900e-04,1.055,0.568,19866
130,7.02454,11.83721,3.930e-04,0.490,0.168,19864
131,6.99604,11.83721,3.960e-04,0.552,0.194,19830
132,6.97691,11.83721,3.990e-04,0.456,0.150,19818
133,6.92208,11.83721,4.020e-04,0.539,0.204,19869
134,6.98823,11.83721,4.050e-04,0.468,0.140,19849
135,6.98494,11.83721,4.080e-04,0.464,0.168,19801
136,6.84106,11.83721,4.110e-04,0.735,0.350,19872
137,7.05911,11.83721,4.140e-04,0.801,0.391,19891
138,7.02305,11.83721,4.170e-04,0.648,0.293,19814
139,6.93398,11.83721,4.200e-04,0.812,0.351,19865
140,6.99575,11.83721,4.230e-04,0.655,0.283,19850
141,6.96067,11.83721,4.260e-04,0.541,0.209,19529
142,6.92168,11.83721,4.290e-04,0.584,0.244,19865
143,6.93515,11.83721,4.320e-04,0.496,0.224,19863
144,7.01609,11.83721,4.350e-04,0.614,0.307,19826
145,6.88613,11.83721,4.380e-04,0.584,0.265,19830
146,6.74577,11.83721,4.410e-04,0.515,0.230,19871
147,6.92616,11.83721,4.440e-04,0.566,0.248,19849
148,6.80490,11.83721,4.470e-04,0.581,0.292,19835
149,6.78013,11.83721,4.500e-04,0.649,0.292,19893
150,6.84235,11.83721,4.530e-04,0.737,0.286,19872
151,6.99955,11.83721,4.560e-04,0.508,0.213,19777
152,6.83965,11.83721,4.590e-04,0.558,0.227,19861
153,6.86544,11.83721,4.620e-04,0.705,0.389,19844
154,6.87671,11.83721,4.650e-04,0.832,0.425,19801
155,6.78646,11.83721,4.680e-04,0.563,0.274,19836
156,6.87180,11.83721,4.710e-04,0.688,0.372,19863
157,6.87833,11.83721,4.740e-04,0.689,0.354,19827
158,6.79581,11.83721,4.770e-04,0.723,0.401,19803
159,6.97920,11.83721,4.800e-04,0.737,0.317,19862
160,6.82084,11.83721,4.830e-04,0.630,0.265,19878
161,6.89559,11.83721,4.860e-04,0.569,0.228,19565
162,6.81495,11.83721,4.890e-04,0.818,0.389,19872
163,6.76325,11.83721,4.920e-04,0.531,0.202,19869
