step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.89676,11.83869,3.000e-06,7.852,0.680,5835
1,11.82869,11.83869,6.000e-06,8.419,0.724,19776
2,11.72619,11.83869,9.000e-06,6.401,0.482,19694
3,11.62438,11.83869,1.200e-05,4.563,0.309,19925
4,11.55821,11.83869,1.500e-05,3.665,0.239,19883
5,11.47707,11.83869,1.800e-05,3.162,0.196,19877
6,11.43233,11.83869,2.100e-05,2.445,0.135,19843
7,11.36041,11.83869,2.400e-05,2.118,0.138,19841
8,11.33723,11.83869,2.700e-05,1.909,0.135,19598
9,11.29640,11.83869,3.000e-05,1.723,0.117,19704
10,11.28395,11.83869,3.300e-05,1.777,0.121,19620
11,11.24769,11.83869,3.600e-05,1.679,0.125,19710
12,11.18100,11.83869,3.900e-05,1.694,0.135,19857
13,11.23216,11.83869,4.200e-05,1.397,0.103,19832
14,11.11124,11.83869,4.500e-05,1.660,0.141,19634
15,11.15642,11.83869,4.800e-05,1.316,0.094,19708
16,11.11637,11.83869,5.100e-05,1.322,0.085,19617
17,11.09424,11.83869,5.400e-05,1.304,0.104,19628
18,11.02949,11.83869,5.700e-05,1.386,0.129,19889
19,11.00140,11.83869,6.000e-05,1.287,0.119,19814
20,10.92961,11.83869,6.300e-05,1.294,0.092,19914
21,10.91608,11.83869,6.600e-05,1.264,0.087,19483
22,10.83845,11.83869,6.900e-05,1.427,0.142,19862
23,10.77133,11.83869,7.200e-05,1.485,0.115,19888
24,10.72370,11.83869,7.500e-05,1.507,0.141,19845
25,10.73342,11.83869,7.800e-05,1.479,0.147,19851
26,10.69579,11.83869,8.100e-05,1.428,0.171,19859
27,10.63548,11.83869,8.400e-05,1.236,0.086,19908
28,10.54651,11.83869,8.700e-05,1.362,0.110,19879
29,10.53208,11.83869,9.000e-05,1.296,0.147,19899
30,10.39475,11.83869,9.300e-05,1.527,0.152,19862
31,10.38368,11.83869,9.600e-05,1.332,0.116,19908
32,10.31143,11.83869,9.900e-05,1.252,0.076,19867
33,10.28589,11.83869,1.020e-04,1.318,0.150,19847
34,10.18680,11.83869,1.050e-04,1.297,0.119,19861
35,10.09366,11.83869,1.080e-04,1.299,0.119,19884
36,10.07173,11.83869,1.110e-04,1.241,0.125,19893
37,10.00466,11.83869,1.140e-04,1.300,0.088,19932
38,9.93022,11.83869,1.170e-04,1.332,0.167,19808
39,9.90438,11.83869,1.200e-04,1.123,0.107,19810
40,9.79450,11.83869,1.230e-04,1.177,0.079,19867
41,9.74191,11.83869,1.260e-04,1.103,0.116,19560
42,9.64698,11.83869,1.290e-04,1.140,0.071,19974
43,9.64298,11.83869,1.320e-04,1.020,0.106,20064
44,9.49833,11.83869,1.350e-04,1.114,0.102,20075
45,9.39854,11.83869,1.380e-04,1.372,0.202,20064
46,9.35615,11.83869,1.410e-04,1.315,0.181,19935
47,9.26604,11.83869,1.440e-04,1.225,0.139,19769
48,9.24955,11.83869,1.470e-04,1.079,0.073,19862
49,9.16247,11.83869,1.500e-04,1.065,0.068,20056
50,9.05749,11.83869,1.530e-04,1.186,0.087,19812
51,9.02658,11.83869,1.560e-04,0.986,0.079,19901
52,8.95688,11.83869,1.590e-04,0.941,0.083,19848
53,8.88862,11.83869,1.620e-04,1.074,0.106,19931
54,8.81476,11.83869,1.650e-04,1.071,0.096,19813
55,8.74003,11.83869,1.680e-04,0.936,0.096,19966
56,8.69832,11.83869,1.710e-04,0.787,0.069,19802
57,8.69146,11.83869,1.740e-04,0.996,0.080,19858
58,8.61725,11.83869,1.770e-04,0.871,0.080,19850
59,8.47261,11.83869,1.800e-04,0.824,0.065,19899
60,8.49845,11.83869,1.830e-04,0.912,0.111,19856
61,8.44789,11.83869,1.860e-04,1.121,0.165,19518
62,8.39440,11.83869,1.890e-04,0.861,0.067,19891
63,8.31951,11.83869,1.920e-04,0.950,0.137,20035
64,8.27818,11.83869,1.950e-04,0.803,0.085,20070
65,8.10441,11.83869,1.980e-04,0.783,0.089,20004
66,8.14958,11.83869,2.010e-04,0.837,0.097,19856
67,8.07614,11.83869,2.040e-04,0.700,0.079,19866
68,8.09091,11.83869,2.070e-04,0.704,0.089,19863
69,7.96755,11.83869,2.100e-04,0.618,0.059,19831
70,7.98672,11.83869,2.130e-04,0.696,0.106,19818
71,8.03460,11.83869,2.160e-04,0.795,0.126,19866
72,7.85178,11.83869,2.190e-04,0.818,0.138,19840
73,7.77521,11.83869,2.220e-04,0.692,0.092,19800
74,7.93089,11.83869,2.250e-04,0.970,0.170,19856
75,7.77311,11.83869,2.280e-04,0.785,0.197,19864
76,7.77993,11.83869,2.310e-04,0.756,0.186,19794
77,7.69868,11.83869,2.340e-04,0.809,0.154,19898
78,7.68158,11.83869,2.370e-04,0.698,0.139,19877
79,7.63917,11.83869,2.400e-04,0.752,0.206,19836
80,7.67145,11.83869,2.430e-04,0.604,0.113,19833
81,7.65953,11.83869,2.460e-04,0.783,0.184,19528
82,7.70172,11.83869,2.490e-04,0.645,0.163,19811
83,7.62659,11.83869,2.520e-04,0.528,0.110,19828
84,7.59584,11.83869,2.550e-04,0.608,0.103,19860
85,7.52798,11.83869,2.580e-04,0.565,0.188,19828
86,7.46402,11.83869,2.610e-04,0.427,0.073,19814
87,7.51338,11.83869,2.640e-04,0.531,0.137,19861
88,7.46125,11.83869,2.670e-04,0.503,0.109,19868
89,7.40241,11.83869,2.700e-04,0.630,0.209,19827
90,7.49666,11.83869,2.730e-04,0.551,0.158,19879
91,7.48298,11.83869,2.760e-04,0.481,0.115,19877
92,7.45302,11.83869,2.790e-04,0.474,0.110,19822
93,7.41922,11.83869,2.820e-04,0.588,0.205,19826
94,7.42837,11.83869,2.850e-04,0.610,0.141,19864
95,7.32336,11.83869,2.880e-04,0.515,0.156,19829
96,7.31826,11.83869,2.910e-04,0.581,0.140,19818
97,7.30158,11.83869,2.940e-04,0.554,0.174,19855
98,7.31735,11.83869,2.970e-04,0.529,0.160,19859
