step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.88172,11.82080,3.000e-06,7.811,0.494,5824
1,11.80540,11.82080,6.000e-06,8.347,0.523,19788
2,11.71546,11.82080,9.000e-06,6.322,0.356,19550
3,11.61036,11.82080,1.200e-05,4.492,0.222,19642
4,11.54243,11.82080,1.500e-05,3.638,0.178,19566
5,11.46120,11.82080,1.800e-05,3.114,0.150,19685
6,11.41881,11.82080,2.100e-05,2.418,0.107,19670
7,11.34387,11.82080,2.400e-05,2.151,0.110,19566
8,11.32017,11.82080,2.700e-05,1.931,0.114,19658
9,11.27761,11.82080,3.000e-05,1.752,0.099,19662
10,11.26057,11.82080,3.300e-05,1.897,0.114,19559
11,11.22617,11.82080,3.600e-05,1.790,0.114,19668
12,11.15588,11.82080,3.900e-05,1.789,0.116,19670
13,11.20422,11.82080,4.200e-05,1.478,0.087,19558
14,11.08506,11.82080,4.500e-05,1.625,0.083,19656
15,11.12950,11.82080,4.800e-05,1.389,0.091,19671
16,11.08881,11.82080,5.100e-05,1.383,0.080,19564
17,11.06292,11.82080,5.400e-05,1.340,0.092,19668
18,10.99587,11.82080,5.700e-05,1.479,0.123,19667
19,10.97040,11.82080,6.000e-05,1.335,0.097,19563
20,10.90218,11.82080,6.300e-05,1.401,0.106,19670
21,10.88510,11.82080,6.600e-05,1.312,0.087,19681
22,10.80794,11.82080,6.900e-05,1.421,0.113,19549
23,10.73752,11.82080,7.200e-05,1.423,0.083,19684
24,10.68562,11.82080,7.500e-05,1.486,0.121,19670
25,10.69612,11.82080,7.800e-05,1.368,0.099,19552
26,10.65763,11.82080,8.100e-05,1.285,0.100,19670
27,10.59480,11.82080,8.400e-05,1.349,0.122,19666
28,10.49640,11.82080,8.700e-05,1.363,0.111,19572
29,10.49134,11.82080,9.000e-05,1.210,0.094,19663
30,10.35482,11.82080,9.300e-05,1.510,0.132,19677
31,10.35247,11.82080,9.600e-05,1.303,0.096,19566
32,10.27987,11.82080,9.900e-05,1.304,0.099,19670
33,10.24714,11.82080,1.020e-04,1.171,0.069,19668
34,10.15974,11.82080,1.050e-04,1.324,0.108,19563
35,10.06421,11.82080,1.080e-04,1.318,0.115,19685
36,10.03874,11.82080,1.110e-04,1.171,0.063,19661
37,9.98036,11.82080,1.140e-04,1.624,0.221,19546
38,9.90172,11.82080,1.170e-04,1.454,0.203,19664
39,9.88146,11.82080,1.200e-04,1.069,0.073,19673
40,9.77474,11.82080,1.230e-04,1.239,0.118,19544
41,9.71039,11.82080,1.260e-04,1.100,0.077,19654
42,9.62608,11.82080,1.290e-04,1.165,0.090,19675
43,9.62162,11.82080,1.320e-04,0.997,0.074,19569
44,9.47612,11.82080,1.350e-04,1.116,0.080,19674
45,9.37169,11.82080,1.380e-04,1.404,0.190,19678
46,9.33029,11.82080,1.410e-04,1.157,0.083,19581
47,9.24417,11.82080,1.440e-04,1.263,0.145,19661
48,9.22748,11.82080,1.470e-04,1.101,0.102,19670
49,9.13591,11.82080,1.500e-04,1.105,0.104,19575
50,9.03063,11.82080,1.530e-04,1.268,0.141,19677
51,9.00148,11.82080,1.560e-04,1.199,0.138,19666
52,8.93551,11.82080,1.590e-04,1.049,0.101,19574
53,8.86820,11.82080,1.620e-04,1.067,0.092,19673
54,8.79008,11.82080,1.650e-04,1.066,0.080,19671
55,8.71956,11.82080,1.680e-04,1.185,0.188,19556
56,8.67442,11.82080,1.710e-04,0.894,0.083,19677
57,8.66405,11.82080,1.740e-04,1.091,0.123,19678
58,8.59235,11.82080,1.770e-04,0.938,0.101,19576
59,8.44224,11.82080,1.800e-04,0.878,0.074,19667
