step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.87549,11.87020,3.000e-06,1.129,0.731,5759
1,11.87087,11.87020,6.000e-06,0.934,0.610,19254
2,11.86649,11.87020,9.000e-06,1.080,0.703,20022
3,11.84613,11.87020,1.200e-05,0.899,0.582,20020
4,11.82026,11.87020,1.500e-05,0.945,0.609,19999
5,11.79370,11.87020,1.800e-05,1.025,0.653,20035
6,11.75119,11.87020,2.100e-05,1.067,0.671,20008
7,11.71327,11.87020,2.400e-05,1.008,0.616,20006
8,11.66746,11.87020,2.700e-05,1.063,0.625,20033
9,11.62631,11.87020,3.000e-05,0.991,0.561,20032
10,11.56088,11.87020,3.300e-05,1.089,0.570,19990
11,11.52451,11.87020,3.600e-05,1.044,0.510,20032
12,11.49128,11.87020,3.900e-05,0.944,0.411,20031
13,11.41082,11.87020,4.200e-05,1.010,0.386,19999
14,11.35678,11.87020,4.500e-05,1.013,0.333,20016
15,11.36170,11.87020,4.800e-05,0.936,0.303,20037
16,11.28437,11.87020,5.100e-05,1.014,0.254,20007
17,11.23419,11.87020,5.400e-05,1.028,0.224,20036
18,11.17542,11.87020,5.700e-05,1.087,0.214,20032
19,11.16151,11.87020,6.000e-05,0.999,0.193,20006
20,11.06816,11.87020,6.300e-05,1.122,0.180,20044
21,11.06571,11.87020,6.600e-05,1.061,0.171,19011
22,10.98576,11.87020,6.900e-05,1.116,0.165,19984
23,10.92525,11.87020,7.200e-05,1.175,0.156,20033
24,10.92738,11.87020,7.500e-05,1.088,0.146,20033
25,10.85121,11.87020,7.800e-05,1.174,0.158,20018
26,10.81121,11.87020,8.100e-05,1.113,0.131,20048
27,10.71937,11.87020,8.400e-05,1.216,0.136,20053
28,10.63929,11.87020,8.700e-05,1.273,0.138,20017
29,10.60390,11.87020,9.000e-05,1.222,0.127,20050
30,10.55231,11.87020,9.300e-05,1.190,0.121,20052
31,10.57519,11.87020,9.600e-05,0.963,0.114,20031
32,10.48513,11.87020,9.900e-05,1.010,0.113,20026
33,10.40222,11.87020,1.020e-04,1.122,0.121,20049
34,10.34477,11.87020,1.050e-04,1.099,0.146,19995
35,10.34301,11.87020,1.080e-04,0.958,0.140,20004
36,10.15748,11.87020,1.110e-04,1.351,0.143,20032
37,10.09717,11.87020,1.140e-04,1.245,0.106,20040
38,10.08754,11.87020,1.170e-04,1.052,0.089,20018
39,9.99448,11.87020,1.200e-04,1.145,0.083,20034
40,9.94180,11.87020,1.230e-04,1.058,0.081,20032
41,9.93868,11.87020,1.260e-04,0.918,0.081,19296
42,9.77317,11.87020,1.290e-04,1.166,0.095,20035
43,9.73118,11.87020,1.320e-04,1.056,0.084,20047
44,9.66644,11.87020,1.350e-04,1.117,0.076,20014
45,9.56350,11.87020,1.380e-04,1.095,0.094,20055
46,9.52732,11.87020,1.410e-04,0.984,0.108,20044
47,9.48471,11.87020,1.440e-04,1.012,0.098,20002
48,9.40925,11.87020,1.470e-04,0.959,0.097,20051
49,9.30368,11.87020,1.500e-04,1.069,0.085,20053
50,9.22125,11.87020,1.530e-04,0.966,0.095,20020
51,9.15322,11.87020,1.560e-04,0.952,0.082,20052
52,9.09956,11.87020,1.590e-04,0.962,0.078,20042
53,8.98533,11.87020,1.620e-04,0.980,0.084,20022
54,8.94801,11.87020,1.650e-04,1.039,0.088,20020
55,8.88499,11.87020,1.680e-04,0.868,0.090,20033
56,8.76318,11.87020,1.710e-04,0.981,0.082,20002
57,8.78450,11.87020,1.740e-04,0.818,0.083,20024
58,8.67937,11.87020,1.770e-04,0.819,0.095,20039
59,8.66465,11.87020,1.800e-04,0.806,0.084,20005
60,8.57531,11.87020,1.830e-04,0.828,0.094,20054
61,8.55911,11.87020,1.860e-04,0.788,0.075,19087
62,8.44627,11.87020,1.890e-04,0.757,0.087,20021
63,8.39390,11.87020,1.920e-04,0.780,0.089,20055
64,8.30457,11.87020,1.950e-04,0.692,0.081,20039
65,8.27227,11.87020,1.980e-04,0.673,0.103,19995
66,8.20527,11.87020,2.010e-04,0.709,0.112,20072
67,8.24768,11.87020,2.040e-04,0.631,0.078,20047
68,8.16129,11.87020,2.070e-04,0.609,0.088,20031
69,8.07529,11.87020,2.100e-04,0.670,0.113,20040
70,8.10982,11.87020,2.130e-04,0.552,0.093,20063
71,8.03907,11.87020,2.160e-04,0.549,0.101,19987
72,8.00314,11.87020,2.190e-04,0.649,0.130,20044
73,7.90391,11.87020,2.220e-04,0.542,0.120,20047
74,7.98060,11.87020,2.250e-04,0.509,0.116,20029
75,7.95033,11.87020,2.280e-04,0.499,0.149,20027
76,7.88756,11.87020,2.310e-04,0.500,0.138,20012
77,7.91709,11.87020,2.340e-04,0.472,0.161,20011
78,7.93909,11.87020,2.370e-04,0.524,0.156,20025
79,7.70194,11.87020,2.400e-04,0.650,0.307,20032
80,7.80301,11.87020,2.430e-04,0.539,0.282,20022
81,7.74364,11.87020,2.460e-04,0.466,0.265,19081
82,7.67936,11.87020,2.490e-04,0.465,0.209,20047
83,7.79348,11.87020,2.520e-04,0.574,0.300,20024
84,7.66795,11.87020,2.550e-04,0.421,0.160,20059
85,7.60332,11.87020,2.580e-04,0.444,0.231,20047
86,7.63084,11.87020,2.610e-04,0.525,0.312,20054
87,7.47635,11.87020,2.640e-04,0.609,0.372,20033
88,7.54004,11.87020,2.670e-04,0.528,0.328,20031
89,7.47590,11.87020,2.700e-04,0.422,0.241,20063
