step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.88277,11.82641,3.000e-06,7.247,0.020,5848
1,11.81804,11.82641,6.000e-06,7.412,0.020,19945
2,11.72802,11.82641,9.000e-06,5.920,0.016,19647
3,11.60526,11.82641,1.200e-05,4.812,0.013,19631
4,11.53354,11.82641,1.500e-05,3.603,0.010,19658
5,11.51925,11.82641,1.800e-05,2.655,0.007,19626
6,11.43164,11.82641,2.100e-05,2.256,0.006,19616
7,11.38056,11.82641,2.400e-05,1.849,0.004,19531
8,11.32832,11.82641,2.700e-05,1.712,0.004,19584
9,11.27659,11.82641,3.000e-05,1.691,0.004,19547
10,11.29376,11.82641,3.300e-05,1.394,0.003,19603
11,11.30081,11.82641,3.600e-05,1.345,0.002,19577
12,11.24061,11.82641,3.900e-05,1.400,0.003,19525
13,11.22659,11.82641,4.200e-05,1.337,0.002,19582
14,11.17761,11.82641,4.500e-05,1.358,0.003,19603
15,11.18958,11.82641,4.800e-05,1.225,0.002,19544
16,11.11002,11.82641,5.100e-05,1.343,0.003,19599
17,11.08012,11.82641,5.400e-05,1.275,0.002,19588
18,10.98301,11.82641,5.700e-05,1.521,0.003,19504
19,10.98143,11.82641,6.000e-05,1.327,0.002,19586
20,11.01659,11.82641,6.300e-05,1.269,0.003,19547
21,10.98019,11.82641,6.600e-05,1.133,0.002,19519
22,10.86160,11.82641,6.900e-05,1.292,0.003,19566
23,10.72429,11.82641,7.200e-05,1.506,0.005,19615
24,10.86410,11.82641,7.500e-05,1.118,0.006,19528
25,10.76547,11.82641,7.800e-05,1.179,0.004,19585
26,10.76490,11.82641,8.100e-05,1.050,0.006,19573
27,10.65601,11.82641,8.400e-05,1.166,0.003,19479
28,10.56381,11.82641,8.700e-05,1.244,0.004,19596
29,10.49441,11.82641,9.000e-05,1.275,0.004,19577
30,10.52591,11.82641,9.300e-05,1.046,0.004,19537
31,10.42963,11.82641,9.600e-05,1.201,0.006,19558
32,10.30279,11.82641,9.900e-05,1.323,0.006,19582
33,10.27066,11.82641,1.020e-04,1.175,0.005,19533
34,10.18989,11.82641,1.050e-04,1.218,0.004,19534
35,10.20173,11.82641,1.080e-04,1.077,0.006,19568
36,10.09291,11.82641,1.110e-04,1.095,0.003,19531
37,10.03442,11.82641,1.140e-04,1.169,0.004,19581
38,9.96156,11.82641,1.170e-04,1.136,0.005,19580
39,9.93130,11.82641,1.200e-04,1.073,0.004,19551
40,9.76623,11.82641,1.230e-04,1.235,0.004,19546
41,9.74997,11.82641,1.260e-04,1.196,0.010,19582
42,9.67447,11.82641,1.290e-04,0.998,0.003,19575
43,9.59234,11.82641,1.320e-04,1.230,0.007,19557
44,9.53998,11.82641,1.350e-04,1.087,0.005,19580
45,9.46791,11.82641,1.380e-04,1.068,0.003,19582
46,9.49237,11.82641,1.410e-04,1.043,0.003,19525
47,9.34406,11.82641,1.440e-04,1.066,0.002,19592
48,9.26559,11.82641,1.470e-04,1.075,0.004,19552
49,9.17943,11.82641,1.500e-04,0.984,0.003,19550
50,9.14149,11.82641,1.530e-04,0.902,0.002,19578
51,9.05890,11.82641,1.560e-04,0.974,0.003,19571
52,9.00048,11.82641,1.590e-04,0.934,0.002,19529
53,9.02964,11.82641,1.620e-04,0.896,0.003,19577
54,8.94038,11.82641,1.650e-04,0.883,0.002,19573
55,8.86424,11.82641,1.680e-04,1.042,0.004,19517
56,8.79758,11.82641,1.710e-04,0.874,0.005,19588
57,8.68993,11.82641,1.740e-04,1.022,0.005,19569
58,8.69295,11.82641,1.770e-04,0.827,0.002,19518
59,8.68093,11.82641,1.800e-04,0.889,0.004,19549
60,8.57968,11.82641,1.830e-04,0.755,0.004,19578
61,8.60803,11.82641,1.860e-04,0.926,0.010,19498
62,8.47867,11.82641,1.890e-04,0.785,0.006,19586
63,8.57025,11.82641,1.920e-04,0.906,0.010,19574
64,8.52376,11.82641,1.950e-04,0.663,0.004,19530
65,8.40379,11.82641,1.980e-04,0.697,0.006,19568
