step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.84785,11.85371,3.000e-06,0.856,0.593,8228
1,11.84902,11.85371,6.000e-06,0.842,0.584,29636
2,11.84461,11.85371,9.000e-06,0.819,0.567,28454
3,11.83826,11.85371,1.200e-05,0.806,0.558,28908
4,11.82834,11.85371,1.500e-05,0.846,0.586,29020
5,11.82489,11.85371,1.800e-05,0.834,0.576,28804
6,11.80530,11.85371,2.100e-05,0.895,0.615,28372
7,11.78522,11.85371,2.400e-05,0.849,0.579,28789
8,11.77749,11.85371,2.700e-05,0.846,0.579,28864
9,11.76681,11.85371,3.000e-05,0.783,0.532,28890
10,11.73215,11.85371,3.300e-05,0.835,0.557,28730
11,11.71774,11.85371,3.600e-05,0.810,0.532,28537
12,11.67450,11.85371,3.900e-05,0.890,0.575,28166
13,11.65366,11.85371,4.200e-05,0.905,0.565,27903
14,11.61931,11.85371,4.500e-05,0.951,0.576,27847
15,11.60579,11.85371,4.800e-05,0.805,0.474,27816
16,11.56875,11.85371,5.100e-05,0.838,0.468,27707
17,11.51572,11.85371,5.400e-05,0.889,0.462,27932
18,11.48228,11.85371,5.700e-05,0.931,0.451,28084
19,11.44035,11.85371,6.000e-05,0.922,0.410,27995
20,11.38068,11.85371,6.300e-05,1.054,0.418,27842
21,11.40015,11.85371,6.600e-05,0.869,0.340,27856
22,11.29078,11.85371,6.900e-05,1.038,0.325,28083
23,11.23594,11.85371,7.200e-05,1.088,0.294,28340
24,11.23845,11.85371,7.500e-05,0.956,0.243,28115
25,11.15365,11.85371,7.800e-05,1.142,0.227,28152
26,11.11903,11.85371,8.100e-05,1.084,0.192,28162
27,11.06254,11.85371,8.400e-05,1.165,0.177,28141
28,11.04286,11.85371,8.700e-05,1.053,0.168,28173
29,10.96636,11.85371,9.000e-05,1.120,0.148,28289
30,10.98812,11.85371,9.300e-05,0.998,0.193,28321
31,10.92378,11.85371,9.600e-05,1.020,0.156,28211
32,10.86129,11.85371,9.900e-05,1.085,0.116,28156
33,10.75904,11.85371,1.020e-04,1.257,0.116,28122
34,10.73016,11.85371,1.050e-04,1.116,0.123,28149
35,10.67859,11.85371,1.080e-04,1.104,0.111,28321
36,10.63560,11.85371,1.110e-04,1.229,0.106,28189
37,10.57845,11.85371,1.140e-04,1.177,0.106,28204
38,10.51652,11.85371,1.170e-04,1.187,0.107,28227
39,10.47847,11.85371,1.200e-04,1.208,0.093,28150
40,10.42070,11.85371,1.230e-04,1.135,0.097,28160
41,10.37011,11.85371,1.260e-04,1.216,0.073,28322
42,10.30709,11.85371,1.290e-04,1.122,0.076,28206
43,10.22334,11.85371,1.320e-04,1.230,0.065,28139
44,10.19107,11.85371,1.350e-04,1.157,0.061,28208
45,10.12515,11.85371,1.380e-04,1.083,0.057,28186
46,10.06833,11.85371,1.410e-04,1.115,0.083,28189
47,9.99250,11.85371,1.440e-04,1.096,0.070,28273
48,9.91328,11.85371,1.470e-04,1.174,0.075,28339
49,9.86102,11.85371,1.500e-04,1.171,0.064,28188
50,9.79684,11.85371,1.530e-04,1.165,0.056,28127
51,9.72682,11.85371,1.560e-04,1.205,0.049,28111
52,9.66253,11.85371,1.590e-04,1.061,0.044,28218
53,9.61679,11.85371,1.620e-04,1.105,0.044,28208
54,9.55304,11.85371,1.650e-04,1.137,0.049,28289
55,9.50393,11.85371,1.680e-04,1.158,0.046,28199
56,9.40982,11.85371,1.710e-04,1.037,0.046,28141
57,9.37759,11.85371,1.740e-04,1.124,0.049,28195
58,9.32480,11.85371,1.770e-04,1.131,0.046,28136
59,9.30887,11.85371,1.800e-04,1.165,0.047,28251
60,9.21082,11.85371,1.830e-04,1.157,0.042,28338
61,9.18108,11.85371,1.860e-04,1.291,0.049,28261
62,9.05452,11.85371,1.890e-04,1.219,0.052,28122
63,8.99467,11.85371,1.920e-04,0.981,0.043,28210
64,8.98892,11.85371,1.950e-04,0.939,0.044,28157
65,8.83673,11.85371,1.980e-04,1.033,0.049,28222
66,8.82021,11.85371,2.010e-04,1.096,0.050,28306
67,8.80693,11.85371,2.040e-04,0.992,0.043,28250
68,8.68033,11.85371,2.070e-04,1.114,0.045,28243
69,8.64935,11.85371,2.100e-04,1.148,0.044,28179
70,8.57297,11.85371,2.130e-04,0.906,0.046,28201
71,8.58817,11.85371,2.160e-04,1.067,0.045,28186
72,8.51243,11.85371,2.190e-04,0.996,0.050,28331
73,8.43496,11.85371,2.220e-04,0.914,0.060,28243
74,8.42220,11.85371,2.250e-04,0.926,0.050,28168
75,8.27822,11.85371,2.280e-04,0.830,0.060,28141
76,8.28119,11.85371,2.310e-04,0.891,0.063,28203
77,8.30974,11.85371,2.340e-04,0.983,0.069,28161
78,8.27209,11.85371,2.370e-04,0.920,0.068,28257
79,8.19794,11.85371,2.400e-04,0.827,0.071,28304
80,8.21359,11.85371,2.430e-04,0.803,0.060,28183
81,8.09980,11.85371,2.460e-04,0.819,0.069,28169
82,8.06383,11.85371,2.490e-04,0.792,0.072,28174
83,8.07208,11.85371,2.520e-04,0.737,0.070,28136
84,8.01167,11.85371,2.550e-04,0.771,0.090,28280
85,7.92000,11.85371,2.580e-04,0.692,0.097,28284
86,8.04745,11.85371,2.610e-04,0.722,0.103,28142
87,7.98163,11.85371,2.640e-04,0.651,0.092,28259
88,7.87546,11.85371,2.670e-04,0.589,0.081,28199
89,7.93749,11.85371,2.700e-04,0.519,0.111,28194
90,7.75904,11.85371,2.730e-04,0.520,0.116,28215
91,7.77015,11.85371,2.760e-04,0.515,0.089,28372
92,7.76120,11.85371,2.790e-04,0.476,0.092,28149
93,7.71992,11.85371,2.820e-04,0.474,0.099,28199
94,7.72683,11.85371,2.850e-04,0.450,0.100,28258
95,7.70791,11.85371,2.880e-04,0.441,0.084,28228
96,7.69498,11.85371,2.910e-04,0.409,0.104,28189
97,7.64364,11.85371,2.940e-04,0.439,0.134,28380
98,7.51720,11.85371,2.970e-04,0.429,0.100,28208
99,7.66149,11.85371,3.000e-04,0.389,0.164,28207
100,7.53601,11.85371,3.030e-04,0.430,0.148,27847
101,7.61701,11.85371,3.060e-04,0.357,0.153,27994
102,7.53005,11.85371,3.090e-04,0.351,0.183,27635
103,7.58447,11.85371,3.120e-04,0.439,0.226,26487
104,7.54842,11.85371,3.150e-04,0.422,0.283,28023
105,7.56205,11.85371,3.180e-04,0.338,0.140,27891
106,7.45200,11.85371,3.210e-04,0.549,0.350,27920
107,7.57770,11.85371,3.240e-04,0.549,0.414,27983
108,7.40244,11.85371,3.270e-04,0.374,0.222,27656
109,7.43883,11.85371,3.300e-04,0.751,0.552,27303
110,7.46191,11.85371,3.330e-04,0.335,0.208,28041
111,7.45658,11.85371,3.360e-04,0.514,0.380,28108
112,7.46743,11.85371,3.390e-04,0.322,0.165,27945
113,7.43925,11.85371,3.420e-04,0.481,0.325,28114
114,7.43262,11.85371,3.450e-04,0.432,0.296,27983
115,7.47952,11.85371,3.480e-04,0.526,0.400,27996
116,7.29102,11.85371,3.510e-04,0.427,0.305,27972
117,7.37240,11.85371,3.540e-04,0.330,0.184,28036
118,7.39484,11.85371,3.570e-04,0.497,0.384,27959
119,7.34350,11.85371,3.600e-04,0.272,0.119,28012
120,7.38424,11.85371,3.630e-04,0.399,0.299,28044
121,7.36972,11.85371,3.660e-04,0.374,0.263,27992
122,7.25563,11.85371,3.690e-04,0.561,0.380,28010
123,7.24070,11.85371,3.720e-04,0.410,0.298,27954
124,7.22833,11.85371,3.750e-04,0.427,0.313,27991
125,7.20275,11.85371,3.780e-04,0.614,0.454,28025
126,7.29587,11.85371,3.810e-04,0.410,0.294,28105
127,7.27213,11.85371,3.840e-04,0.545,0.437,27936
128,7.27651,11.85371,3.870e-04,0.333,0.187,28089
129,7.31996,11.85371,3.900e-04,0.363,0.256,27942
130,7.26493,11.85371,3.930e-04,0.504,0.388,28034
131,7.18146,11.85371,3.960e-04,0.324,0.214,27960
132,7.09238,11.85371,3.990e-04,0.387,0.265,27936
133,7.24348,11.85371,4.020e-04,0.461,0.359,27962
134,7.16151,11.85371,4.050e-04,0.518,0.351,27977
135,7.18044,11.85371,4.080e-04,0.451,0.344,28165
136,7.14403,11.85371,4.110e-04,0.490,0.375,28004
137,7.01833,11.85371,4.140e-04,0.371,0.261,28252
138,7.12035,11.85371,4.170e-04,0.648,0.504,28117
139,7.05219,11.85371,4.200e-04,0.448,0.322,28010
140,6.99430,11.85371,4.230e-04,0.407,0.293,27945
141,7.18101,11.85371,4.260e-04,0.397,0.287,27976
142,7.10240,11.85371,4.290e-04,0.637,0.437,27973
143,7.02100,11.85371,4.320e-04,0.309,0.201,28125
144,7.03241,11.85371,4.350e-04,0.665,0.499,28132
145,7.09277,11.85371,4.380e-04,0.333,0.216,28073
146,7.12338,11.85371,4.410e-04,0.601,0.449,28137
147,6.97220,11.85371,4.440e-04,0.320,0.194,27986
148,7.08645,11.85371,4.470e-04,0.450,0.327,27999
149,7.01653,11.85371,4.500e-04,0.323,0.208,28003
150,7.11444,11.85371,4.530e-04,0.417,0.294,28161
151,6.97247,11.85371,4.560e-04,0.418,0.320,27990
152,7.06828,11.85371,4.590e-04,0.420,0.308,28225
153,6.92831,11.85371,4.620e-04,0.379,0.282,27958
154,6.92597,11.85371,4.650e-04,0.442,0.332,28204
155,6.97562,11.85371,4.680e-04,0.433,0.321,27973
156,7.05477,11.85371,4.710e-04,0.330,0.245,28010
157,6.96632,11.85371,4.740e-04,0.436,0.334,27947
158,6.97311,11.85371,4.770e-04,0.447,0.358,28171
159,6.97368,11.85371,4.800e-04,0.450,0.360,27972
160,6.98334,11.85371,4.830e-04,0.431,0.357,28180
161,6.96490,11.85371,4.860e-04,0.440,0.341,28071
162,7.08076,11.85371,4.890e-04,0.525,0.422,28105
163,6.75354,11.85371,4.920e-04,0.730,0.645,27930
164,6.97485,11.85371,4.950e-04,0.558,0.491,28174
165,7.02124,11.85371,4.980e-04,0.676,0.586,27950
166,6.84955,11.85371,5.010e-04,0.534,0.430,27977
167,6.98686,11.85371,5.040e-04,0.518,0.428,27979
168,6.86482,11.85371,5.070e-04,0.500,0.407,27944
169,6.89577,11.85371,5.100e-04,0.459,0.379,28060
170,6.78827,11.85371,5.130e-04,0.631,0.558,28222
171,6.81735,11.85371,5.160e-04,0.406,0.274,28158
172,6.86752,11.85371,5.190e-04,0.570,0.506,28197
173,6.87204,11.85371,5.220e-04,0.403,0.289,28323
174,6.84050,11.85371,5.250e-04,0.434,0.352,28301
175,6.78445,11.85371,5.280e-04,0.366,0.264,28208
176,6.83432,11.85371,5.310e-04,0.401,0.324,28180
177,7.02773,11.85371,5.340e-04,0.329,0.231,28170
178,6.90930,11.85371,5.370e-04,0.445,0.360,28174
179,6.84804,11.85371,5.400e-04,0.375,0.267,28291
180,6.73862,11.85371,5.430e-04,0.436,0.329,28373
181,6.78668,11.85371,5.460e-04,0.448,0.349,28291
182,6.98842,11.85371,5.490e-04,0.705,0.608,28297
183,6.81024,11.85371,5.520e-04,0.467,0.395,27972
184,6.80475,11.85371,5.550e-04,0.592,0.511,28119
185,6.66354,11.85371,5.580e-04,0.420,0.314,28195
186,6.80198,11.85371,5.610e-04,0.481,0.380,28356
187,6.88130,11.85371,5.640e-04,0.597,0.470,28231
