step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.87161,11.84505,3.000e-06,5.266,0.694,7964
1,11.84434,11.84505,6.000e-06,5.132,0.666,28333
2,11.79997,11.84505,9.000e-06,4.576,0.609,28127
3,11.74117,11.84505,1.200e-05,4.139,0.539,28190
4,11.66604,11.84505,1.500e-05,3.675,0.399,28341
5,11.63193,11.84505,1.800e-05,2.833,0.325,28334
6,11.54019,11.84505,2.100e-05,2.806,0.273,28347
7,11.50194,11.84505,2.400e-05,2.329,0.199,28458
8,11.45900,11.84505,2.700e-05,2.047,0.173,28378
9,11.48563,11.84505,3.000e-05,1.657,0.149,28314
10,11.41247,11.84505,3.300e-05,1.584,0.127,28263
11,11.39914,11.84505,3.600e-05,1.405,0.094,28306
12,11.32690,11.84505,3.900e-05,1.669,0.157,28302
13,11.29977,11.84505,4.200e-05,1.502,0.085,28419
14,11.26678,11.84505,4.500e-05,1.512,0.085,28404
15,11.30995,11.84505,4.800e-05,1.287,0.121,28316
16,11.28386,11.84505,5.100e-05,1.289,0.103,28284
17,11.22544,11.84505,5.400e-05,1.305,0.100,28290
18,11.18627,11.84505,5.700e-05,1.311,0.059,28285
19,11.17843,11.84505,6.000e-05,1.426,0.170,28361
20,11.11028,11.84505,6.300e-05,1.512,0.134,28448
21,11.17688,11.84505,6.600e-05,1.114,0.060,27964
22,11.07246,11.84505,6.900e-05,1.316,0.085,28254
23,11.02889,11.84505,7.200e-05,1.334,0.080,28306
24,11.05394,11.84505,7.500e-05,1.154,0.091,28283
25,10.97296,11.84505,7.800e-05,1.317,0.046,28318
26,10.93938,11.84505,8.100e-05,1.238,0.068,28451
27,10.89799,11.84505,8.400e-05,1.298,0.064,28338
28,10.87861,11.84505,8.700e-05,1.180,0.065,28279
29,10.80621,11.84505,9.000e-05,1.202,0.043,28313
30,10.82364,11.84505,9.300e-05,1.115,0.096,28273
31,10.76589,11.84505,9.600e-05,1.068,0.037,28323
32,10.71226,11.84505,9.900e-05,1.177,0.069,28449
