step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86587,11.84645,3.000e-06,5.420,0.843,8222
1,11.84011,11.84645,6.000e-06,5.335,0.833,29501
2,11.80085,11.84645,9.000e-06,4.679,0.728,29149
3,11.73451,11.84645,1.200e-05,4.219,0.654,29185
4,11.65450,11.84645,1.500e-05,3.753,0.465,28926
5,11.62269,11.84645,1.800e-05,2.920,0.385,28732
6,11.52617,11.84645,2.100e-05,2.860,0.319,28772
7,11.48516,11.84645,2.400e-05,2.370,0.230,28792
8,11.44383,11.84645,2.700e-05,2.066,0.198,28760
9,11.47228,11.84645,3.000e-05,1.675,0.176,28919
10,11.39715,11.84645,3.300e-05,1.624,0.152,29154
11,11.38709,11.84645,3.600e-05,1.433,0.116,29136
12,11.31325,11.84645,3.900e-05,1.657,0.165,29165
13,11.28890,11.84645,4.200e-05,1.509,0.098,29152
14,11.25501,11.84645,4.500e-05,1.508,0.096,29176
15,11.30353,11.84645,4.800e-05,1.325,0.150,29124
16,11.27717,11.84645,5.100e-05,1.292,0.096,29159
17,11.21787,11.84645,5.400e-05,1.289,0.080,29154
18,11.17970,11.84645,5.700e-05,1.311,0.066,29162
19,11.16704,11.84645,6.000e-05,1.373,0.140,29176
20,11.10137,11.84645,6.300e-05,1.452,0.088,29138
21,11.16952,11.84645,6.600e-05,1.232,0.138,29106
22,11.06229,11.84645,6.900e-05,1.329,0.095,29164
23,11.01565,11.84645,7.200e-05,1.320,0.067,29174
24,11.04441,11.84645,7.500e-05,1.163,0.086,29160
25,10.96118,11.84645,7.800e-05,1.323,0.055,29171
26,10.93462,11.84645,8.100e-05,1.227,0.057,29149
27,10.88876,11.84645,8.400e-05,1.281,0.040,29177
28,10.87460,11.84645,8.700e-05,1.203,0.083,29157
29,10.80540,11.84645,9.000e-05,1.234,0.068,29130
30,10.82852,11.84645,9.300e-05,1.050,0.059,29161
31,10.77007,11.84645,9.600e-05,1.126,0.101,29173
32,10.71025,11.84645,9.900e-05,1.141,0.051,29159
33,10.60490,11.84645,1.020e-04,1.353,0.084,29149
34,10.58065,11.84645,1.050e-04,1.251,0.098,29169
35,10.52694,11.84645,1.080e-04,1.173,0.071,29157
36,10.48126,11.84645,1.110e-04,1.248,0.050,29184
37,10.42926,11.84645,1.140e-04,1.218,0.076,29140
38,10.35913,11.84645,1.170e-04,1.260,0.088,29176
39,10.32422,11.84645,1.200e-04,1.254,0.090,29147
40,10.26714,11.84645,1.230e-04,1.179,0.064,29152
41,10.22253,11.84645,1.260e-04,1.246,0.047,29124
42,10.15487,11.84645,1.290e-04,1.164,0.073,29176
43,10.07342,11.84645,1.320e-04,1.273,0.067,29132
44,10.03964,11.84645,1.350e-04,1.198,0.067,29170
45,9.98049,11.84645,1.380e-04,1.149,0.085,29149
46,9.92157,11.84645,1.410e-04,1.142,0.055,29158
47,9.84423,11.84645,1.440e-04,1.177,0.092,29125
48,9.75962,11.84645,1.470e-04,1.234,0.091,29165
49,9.71516,11.84645,1.500e-04,1.222,0.081,29173
50,9.65575,11.84645,1.530e-04,1.240,0.107,29146
51,9.57405,11.84645,1.560e-04,1.245,0.078,29192
52,9.51508,11.84645,1.590e-04,1.088,0.051,29155
53,9.46868,11.84645,1.620e-04,1.115,0.047,29145
54,9.40514,11.84645,1.650e-04,1.147,0.051,29165
55,9.35430,11.84645,1.680e-04,1.199,0.088,29135
56,9.26872,11.84645,1.710e-04,1.061,0.049,29171
57,9.23784,11.84645,1.740e-04,1.150,0.069,29151
58,9.18436,11.84645,1.770e-04,1.143,0.056,29158
59,9.16801,11.84645,1.800e-04,1.184,0.067,29164
60,9.06938,11.84645,1.830e-04,1.187,0.080,29181
61,9.03854,11.84645,1.860e-04,1.286,0.061,29085
62,8.91590,11.84645,1.890e-04,1.231,0.080,29153
63,8.84752,11.84645,1.920e-04,1.026,0.077,29177
64,8.86441,11.84645,1.950e-04,1.186,0.164,29148
65,8.70231,11.84645,1.980e-04,1.045,0.051,29154
66,8.69555,11.84645,2.010e-04,1.133,0.092,29160
67,8.67667,11.84645,2.040e-04,0.998,0.054,29161
68,8.54732,11.84645,2.070e-04,1.148,0.095,29160
69,8.52804,11.84645,2.100e-04,1.160,0.067,29148
70,8.43943,11.84645,2.130e-04,0.937,0.063,29171
71,8.46869,11.84645,2.160e-04,1.073,0.060,29145
72,8.38260,11.84645,2.190e-04,1.013,0.054,29175
