step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.85824,11.86224,3.000e-06,0.815,0.605,8011
1,11.86385,11.86224,6.000e-06,0.874,0.646,28489
2,11.85128,11.86224,9.000e-06,0.867,0.643,28168
3,11.85428,11.86224,1.200e-05,0.836,0.617,28234
4,11.84072,11.86224,1.500e-05,0.878,0.649,27855
5,11.82969,11.86224,1.800e-05,0.911,0.673,27728
6,11.81275,11.86224,2.100e-05,0.880,0.651,27822
7,11.79373,11.86224,2.400e-05,0.921,0.673,28294
8,11.78213,11.86224,2.700e-05,0.871,0.635,28293
9,11.75789,11.86224,3.000e-05,0.887,0.642,28128
10,11.73563,11.86224,3.300e-05,0.929,0.664,27643
11,11.70795,11.86224,3.600e-05,0.917,0.648,28169
12,11.69047,11.86224,3.900e-05,0.898,0.621,28243
13,11.65746,11.86224,4.200e-05,0.890,0.598,28272
14,11.62370,11.86224,4.500e-05,0.901,0.585,28048
15,11.59062,11.86224,4.800e-05,0.887,0.559,28165
16,11.55798,11.86224,5.100e-05,0.877,0.526,28011
17,11.51294,11.86224,5.400e-05,0.909,0.514,27588
18,11.46650,11.86224,5.700e-05,0.947,0.497,28065
19,11.42946,11.86224,6.000e-05,0.930,0.449,28193
20,11.37011,11.86224,6.300e-05,1.011,0.441,28190
21,11.34875,11.86224,6.600e-05,0.946,0.377,28251
22,11.28805,11.86224,6.900e-05,1.003,0.351,28114
23,11.24117,11.86224,7.200e-05,0.993,0.317,28152
24,11.20523,11.86224,7.500e-05,0.988,0.274,28176
25,11.13017,11.86224,7.800e-05,1.192,0.269,28269
26,11.08089,11.86224,8.100e-05,1.134,0.230,28086
27,11.07398,11.86224,8.400e-05,1.093,0.200,28123
28,10.98749,11.86224,8.700e-05,1.152,0.190,28178
29,10.96204,11.86224,9.000e-05,1.091,0.177,28114
30,10.93583,11.86224,9.300e-05,1.043,0.182,28113
31,10.88771,11.86224,9.600e-05,1.058,0.158,28197
32,10.79092,11.86224,9.900e-05,1.189,0.149,28290
33,10.74913,11.86224,1.020e-04,1.173,0.154,27948
34,10.73665,11.86224,1.050e-04,1.052,0.137,28096
35,10.69114,11.86224,1.080e-04,1.093,0.137,28130
36,10.58247,11.86224,1.110e-04,1.152,0.133,28142
37,10.54448,11.86224,1.140e-04,1.143,0.126,28217
38,10.49366,11.86224,1.170e-04,1.073,0.130,28265
39,10.45832,11.86224,1.200e-04,1.194,0.103,28006
40,10.39447,11.86224,1.230e-04,1.053,0.095,28087
41,10.31367,11.86224,1.260e-04,1.149,0.094,28116
42,10.27407,11.86224,1.290e-04,1.107,0.079,28143
43,10.21485,11.86224,1.320e-04,1.199,0.073,28156
44,10.13877,11.86224,1.350e-04,1.146,0.070,28210
45,10.07628,11.86224,1.380e-04,1.200,0.086,28172
46,10.04310,11.86224,1.410e-04,1.063,0.081,28048
47,9.95404,11.86224,1.440e-04,1.177,0.076,28123
48,9.87728,11.86224,1.470e-04,1.171,0.085,28118
49,9.80763,11.86224,1.500e-04,1.211,0.062,28121
50,9.75602,11.86224,1.530e-04,1.066,0.076,28105
51,9.72061,11.86224,1.560e-04,1.063,0.059,28152
52,9.63336,11.86224,1.590e-04,1.107,0.063,28102
53,9.58525,11.86224,1.620e-04,1.078,0.057,28145
54,9.55429,11.86224,1.650e-04,1.157,0.064,28120
55,9.46904,11.86224,1.680e-04,1.160,0.067,28130
56,9.36502,11.86224,1.710e-04,1.038,0.083,28268
57,9.31238,11.86224,1.740e-04,1.044,0.075,28124
58,9.28339,11.86224,1.770e-04,1.164,0.061,28077
59,9.14648,11.86224,1.800e-04,1.138,0.054,28102
60,9.14422,11.86224,1.830e-04,1.028,0.058,28114
61,9.08196,11.86224,1.860e-04,1.078,0.060,28140
62,9.05600,11.86224,1.890e-04,1.065,0.075,28249
63,8.97143,11.86224,1.920e-04,1.115,0.061,28151
64,8.97032,11.86224,1.950e-04,1.057,0.075,28113
65,8.75362,11.86224,1.980e-04,0.981,0.083,28084
66,8.78963,11.86224,2.010e-04,1.007,0.066,28181
67,8.68484,11.86224,2.040e-04,0.959,0.061,28129
68,8.73102,11.86224,2.070e-04,0.977,0.072,28288
69,8.59106,11.86224,2.100e-04,0.968,0.069,28146
70,8.62712,11.86224,2.130e-04,0.965,0.052,28102
71,8.49528,11.86224,2.160e-04,0.976,0.077,28103
72,8.46842,11.86224,2.190e-04,0.934,0.095,28093
73,8.39201,11.86224,2.220e-04,0.886,0.095,28113
74,8.33758,11.86224,2.250e-04,0.828,0.077,28306
75,8.30446,11.86224,2.280e-04,0.874,0.092,27935
76,8.30087,11.86224,2.310e-04,0.855,0.118,27666
77,8.18475,11.86224,2.340e-04,0.853,0.076,28871
78,8.25533,11.86224,2.370e-04,0.798,0.104,28985
79,8.19941,11.86224,2.400e-04,0.850,0.132,29012
80,8.25091,11.86224,2.430e-04,0.801,0.077,28980
81,8.23797,11.86224,2.460e-04,0.749,0.103,28966
82,8.04009,11.86224,2.490e-04,0.714,0.117,28988
83,7.99471,11.86224,2.520e-04,0.665,0.110,29022
84,7.96794,11.86224,2.550e-04,0.627,0.110,28996
85,7.94519,11.86224,2.580e-04,0.588,0.093,29010
86,7.96597,11.86224,2.610e-04,0.641,0.085,29008
87,7.83498,11.86224,2.640e-04,0.572,0.115,28982
88,7.88531,11.86224,2.670e-04,0.591,0.079,29024
89,7.79592,11.86224,2.700e-04,0.517,0.098,29035
90,7.75512,11.86224,2.730e-04,0.535,0.107,29015
91,7.75746,11.86224,2.760e-04,0.503,0.121,28996
92,7.83850,11.86224,2.790e-04,0.475,0.127,28989
93,7.71642,11.86224,2.820e-04,0.418,0.109,29025
94,7.66286,11.86224,2.850e-04,0.458,0.119,29034
95,7.75563,11.86224,2.880e-04,0.476,0.148,29044
96,7.61636,11.86224,2.910e-04,0.421,0.131,29032
97,7.77617,11.86224,2.940e-04,0.452,0.187,29005
98,7.68044,11.86224,2.970e-04,0.437,0.194,29014
99,7.69485,11.86224,3.000e-04,0.430,0.243,29046
100,7.53871,11.86224,3.030e-04,0.395,0.183,29037
101,7.63059,11.86224,3.060e-04,0.389,0.208,28979
102,7.54553,11.86224,3.090e-04,0.446,0.252,29036
103,7.59713,11.86224,3.120e-04,0.383,0.225,29046
104,7.46076,11.86224,3.150e-04,0.375,0.214,28990
105,7.56747,11.86224,3.180e-04,0.406,0.264,29031
106,7.45370,11.86224,3.210e-04,0.406,0.293,29033
107,7.47783,11.86224,3.240e-04,0.332,0.179,29054
108,7.41087,11.86224,3.270e-04,0.308,0.134,29050
109,7.40367,11.86224,3.300e-04,0.352,0.227,29046
110,7.43252,11.86224,3.330e-04,0.452,0.348,29033
111,7.44429,11.86224,3.360e-04,0.387,0.229,29020
112,7.38943,11.86224,3.390e-04,0.378,0.267,29022
113,7.35668,11.86224,3.420e-04,0.467,0.358,29059
114,7.33193,11.86224,3.450e-04,0.848,0.681,29030
115,7.29537,11.86224,3.480e-04,0.593,0.459,29018
116,7.34825,11.86224,3.510e-04,0.554,0.416,29042
117,7.51192,11.86224,3.540e-04,0.930,0.746,29003
118,7.37594,11.86224,3.570e-04,0.430,0.302,29020
119,7.30674,11.86224,3.600e-04,0.354,0.226,29027
120,7.28500,11.86224,3.630e-04,0.604,0.504,29025
121,7.29254,11.86224,3.660e-04,0.339,0.216,28941
122,7.39696,11.86224,3.690e-04,0.649,0.470,29021
123,7.18744,11.86224,3.720e-04,0.514,0.405,29030
124,7.30937,11.86224,3.750e-04,0.651,0.529,29025
125,7.29450,11.86224,3.780e-04,0.387,0.272,29018
