step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86415,11.83760,3.000e-06,5.228,0.805,8163
1,11.83760,11.83760,6.000e-06,5.278,0.842,29109
2,11.79049,11.83760,9.000e-06,5.076,0.780,28788
3,11.72902,11.83760,1.200e-05,4.135,0.594,28702
4,11.65828,11.83760,1.500e-05,3.343,0.426,29030
5,11.58990,11.83760,1.800e-05,2.733,0.300,29136
6,11.55173,11.83760,2.100e-05,2.530,0.277,29167
7,11.48011,11.83760,2.400e-05,2.385,0.234,29143
8,11.46374,11.83760,2.700e-05,1.849,0.151,29177
9,11.40881,11.83760,3.000e-05,1.786,0.162,29142
10,11.37597,11.83760,3.300e-05,1.638,0.124,29180
11,11.35455,11.83760,3.600e-05,1.537,0.143,29158
12,11.35020,11.83760,3.900e-05,1.650,0.240,29175
13,11.31063,11.83760,4.200e-05,1.424,0.133,29155
14,11.28414,11.83760,4.500e-05,1.455,0.157,29150
15,11.26143,11.83760,4.800e-05,1.283,0.097,29165
16,11.24269,11.83760,5.100e-05,1.251,0.103,29151
17,11.20479,11.83760,5.400e-05,1.288,0.097,29154
18,11.15985,11.83760,5.700e-05,1.304,0.069,29166
19,11.14857,11.83760,6.000e-05,1.196,0.075,29164
20,11.09304,11.83760,6.300e-05,1.421,0.143,29153
21,11.08624,11.83760,6.600e-05,1.175,0.068,29119
22,11.03768,11.83760,6.900e-05,1.235,0.077,29190
23,11.01170,11.83760,7.200e-05,1.223,0.085,29135
24,10.98305,11.83760,7.500e-05,1.140,0.058,29183
25,10.92082,11.83760,7.800e-05,1.369,0.062,29152
26,10.87381,11.83760,8.100e-05,1.316,0.094,29166
27,10.88388,11.83760,8.400e-05,1.236,0.074,29146
28,10.79717,11.83760,8.700e-05,1.257,0.074,29171
29,10.77537,11.83760,9.000e-05,1.162,0.052,29149
30,10.75254,11.83760,9.300e-05,1.138,0.078,29149
31,10.71308,11.83760,9.600e-05,1.151,0.092,29153
32,10.61336,11.83760,9.900e-05,1.222,0.045,29164
33,10.56618,11.83760,1.020e-04,1.203,0.045,29164
34,10.56376,11.83760,1.050e-04,1.089,0.044,29154
35,10.51953,11.83760,1.080e-04,1.142,0.063,29156
36,10.40211,11.83760,1.110e-04,1.174,0.044,29160
37,10.36785,11.83760,1.140e-04,1.183,0.064,29174
38,10.31306,11.83760,1.170e-04,1.136,0.085,29147
39,10.29637,11.83760,1.200e-04,1.274,0.121,29154
40,10.22347,11.83760,1.230e-04,1.084,0.063,29169
41,10.13746,11.83760,1.260e-04,1.217,0.100,29092
42,10.10766,11.83760,1.290e-04,1.189,0.108,29169
43,10.05576,11.83760,1.320e-04,1.226,0.066,29165
44,9.97630,11.83760,1.350e-04,1.192,0.091,29163
45,9.91362,11.83760,1.380e-04,1.223,0.065,29170
46,9.88251,11.83760,1.410e-04,1.079,0.048,29159
47,9.79708,11.83760,1.440e-04,1.274,0.117,29166
48,9.71000,11.83760,1.470e-04,1.244,0.115,29166
49,9.64611,11.83760,1.500e-04,1.238,0.078,29168
50,9.58447,11.83760,1.530e-04,1.094,0.068,29145
51,9.55576,11.83760,1.560e-04,1.074,0.065,29174
52,9.47877,11.83760,1.590e-04,1.124,0.072,29167
53,9.42228,11.83760,1.620e-04,1.130,0.101,29179
54,9.40238,11.83760,1.650e-04,1.158,0.049,29158
55,9.32598,11.83760,1.680e-04,1.282,0.169,29176
56,9.20407,11.83760,1.710e-04,1.142,0.127,29155
57,9.15890,11.83760,1.740e-04,1.113,0.104,29180
58,9.14531,11.83760,1.770e-04,1.297,0.162,29159
59,8.99334,11.83760,1.800e-04,1.163,0.074,29171
60,8.98736,11.83760,1.830e-04,1.109,0.132,29149
61,8.93058,11.83760,1.860e-04,1.145,0.103,29115
62,8.92707,11.83760,1.890e-04,1.168,0.157,29157
63,8.83237,11.83760,1.920e-04,1.176,0.123,29160
64,8.84063,11.83760,1.950e-04,1.091,0.082,29144
65,8.57705,11.83760,1.980e-04,1.003,0.060,29173
66,8.65701,11.83760,2.010e-04,1.103,0.143,29159
67,8.53189,11.83760,2.040e-04,1.100,0.124,29176
68,8.59454,11.83760,2.070e-04,1.042,0.099,29156
69,8.44824,11.83760,2.100e-04,1.050,0.096,29148
70,8.49974,11.83760,2.130e-04,0.997,0.080,29164
71,8.36217,11.83760,2.160e-04,1.053,0.108,29152
72,8.32774,11.83760,2.190e-04,0.974,0.081,29173
73,8.24967,11.83760,2.220e-04,1.056,0.144,29154
74,8.19170,11.83760,2.250e-04,0.923,0.093,29153
75,8.16989,11.83760,2.280e-04,0.935,0.076,29156
76,8.15938,11.83760,2.310e-04,0.913,0.093,29168
77,8.04905,11.83760,2.340e-04,1.000,0.140,29159
78,8.12477,11.83760,2.370e-04,0.997,0.217,29158
79,8.06548,11.83760,2.400e-04,0.854,0.073,29165
80,8.11770,11.83760,2.430e-04,0.891,0.143,29166
81,8.11175,11.83760,2.460e-04,0.808,0.090,29119
82,7.89940,11.83760,2.490e-04,0.814,0.127,29163
83,7.84959,11.83760,2.520e-04,0.794,0.106,29169
84,7.83244,11.83760,2.550e-04,1.394,0.275,29144
85,7.80911,11.83760,2.580e-04,1.011,0.188,29135
86,7.82517,11.83760,2.610e-04,0.747,0.091,29178
87,7.69532,11.83760,2.640e-04,0.957,0.162,29157
88,7.74700,11.83760,2.670e-04,0.688,0.106,29150
89,7.65089,11.83760,2.700e-04,0.693,0.172,29159
90,7.61653,11.83760,2.730e-04,0.671,0.128,29177
91,7.61861,11.83760,2.760e-04,0.566,0.136,29174
92,7.70423,11.83760,2.790e-04,0.588,0.099,29154
93,7.57814,11.83760,2.820e-04,0.574,0.117,29150
94,7.52982,11.83760,2.850e-04,0.643,0.157,29135
95,7.62681,11.83760,2.880e-04,0.744,0.155,29180
96,7.49119,11.83760,2.910e-04,0.635,0.132,29152
97,7.65682,11.83760,2.940e-04,0.626,0.131,29178
98,7.59327,11.83760,2.970e-04,2.080,0.410,29145
99,7.57924,11.83760,3.000e-04,0.690,0.234,29156
100,7.42649,11.83760,3.030e-04,0.520,0.107,29174
101,7.51918,11.83760,3.060e-04,0.550,0.167,29098
102,7.44178,11.83760,3.090e-04,0.599,0.126,29166
103,7.49523,11.83760,3.120e-04,0.661,0.227,29151
104,7.36044,11.83760,3.150e-04,0.424,0.130,29037
105,7.46395,11.83760,3.180e-04,0.507,0.155,28512
106,7.35868,11.83760,3.210e-04,0.473,0.180,29146
107,7.38820,11.83760,3.240e-04,0.483,0.138,29148
108,7.32776,11.83760,3.270e-04,0.483,0.131,29159
109,7.31717,11.83760,3.300e-04,0.549,0.179,29139
110,7.34564,11.83760,3.330e-04,0.476,0.130,29168
111,7.37241,11.83760,3.360e-04,0.587,0.211,29151
112,7.31151,11.83760,3.390e-04,0.463,0.135,29156
113,7.28539,11.83760,3.420e-04,0.544,0.220,29146
114,7.25781,11.83760,3.450e-04,0.678,0.272,29175
115,7.22826,11.83760,3.480e-04,0.709,0.170,29147
116,7.28745,11.83760,3.510e-04,0.745,0.273,29157
117,7.37560,11.83760,3.540e-04,0.484,0.160,29165
118,7.31414,11.83760,3.570e-04,0.397,0.138,29165
119,7.24462,11.83760,3.600e-04,0.522,0.161,29190
120,7.21077,11.83760,3.630e-04,0.478,0.186,29138
121,7.23493,11.83760,3.660e-04,0.441,0.137,29118
122,7.32297,11.83760,3.690e-04,0.726,0.242,29171
123,7.14208,11.83760,3.720e-04,0.563,0.218,29165
124,7.24915,11.83760,3.750e-04,0.583,0.189,29165
125,7.24423,11.83760,3.780e-04,0.582,0.216,29153
126,7.24489,11.83760,3.810e-04,0.542,0.254,29154
127,7.18337,11.83760,3.840e-04,0.806,0.399,29178
128,7.11221,11.83760,3.870e-04,0.660,0.266,29148
129,7.12824,11.83760,3.900e-04,0.503,0.227,29192
130,7.17881,11.83760,3.930e-04,0.580,0.207,29151
131,7.12849,11.83760,3.960e-04,0.482,0.203,29141
132,7.10114,11.83760,3.990e-04,0.577,0.248,29164
133,7.27725,11.83760,4.020e-04,0.446,0.175,29140
134,7.25482,11.83760,4.050e-04,0.484,0.143,29168
135,7.04407,11.83760,4.080e-04,0.464,0.175,29173
136,7.04965,11.83760,4.110e-04,0.565,0.201,29126
137,7.13981,11.83760,4.140e-04,0.439,0.168,29138
138,7.15577,11.83760,4.170e-04,0.520,0.197,29184
139,7.02017,11.83760,4.200e-04,0.433,0.181,29137
140,6.99538,11.83760,4.230e-04,0.491,0.202,29175
141,6.97225,11.83760,4.260e-04,0.865,0.480,29106
142,6.98900,11.83760,4.290e-04,0.559,0.222,29175
143,6.97572,11.83760,4.320e-04,0.600,0.289,29138
