step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.83537,11.81771,3.000e-06,4.587,0.493,529
1,11.82075,11.81771,6.000e-06,4.720,0.520,2712
2,11.77869,11.81771,9.000e-06,4.543,0.491,2701
3,11.71316,11.81771,1.200e-05,3.862,0.404,2716
4,11.65065,11.81771,1.500e-05,3.261,0.316,2720
5,11.58435,11.81771,1.800e-05,2.673,0.229,2742
6,11.54435,11.81771,2.100e-05,2.415,0.189,2708
7,11.47114,11.81771,2.400e-05,2.297,0.164,3574
8,11.45634,11.81771,2.700e-05,1.834,0.124,2725
9,11.40399,11.81771,3.000e-05,1.731,0.119,2737
10,11.36894,11.81771,3.300e-05,1.582,0.094,2736
11,11.34567,11.81771,3.600e-05,1.512,0.105,3607
12,11.33847,11.81771,3.900e-05,1.567,0.165,2723
13,11.30018,11.81771,4.200e-05,1.337,0.078,2725
14,11.27242,11.81771,4.500e-05,1.354,0.088,2739
15,11.24803,11.81771,4.800e-05,1.259,0.073,2725
16,11.23100,11.81771,5.100e-05,1.177,0.053,2725
17,11.19440,11.81771,5.400e-05,1.237,0.060,2723
18,11.14646,11.81771,5.700e-05,1.301,0.056,2745
19,11.13636,11.81771,6.000e-05,1.184,0.055,3588
20,11.07937,11.81771,6.300e-05,1.339,0.093,2755
21,11.07500,11.81771,6.600e-05,1.176,0.060,2716
22,11.02483,11.81771,6.900e-05,1.216,0.056,2751
23,10.99570,11.81771,7.200e-05,1.168,0.049,3577
24,10.97188,11.81771,7.500e-05,1.150,0.056,2733
25,10.90945,11.81771,7.800e-05,1.348,0.046,2729
26,10.86032,11.81771,8.100e-05,1.279,0.060,2740
27,10.87320,11.81771,8.400e-05,1.213,0.052,2728
28,10.78478,11.81771,8.700e-05,1.243,0.051,2752
29,10.76235,11.81771,9.000e-05,1.152,0.049,2736
30,10.73915,11.81771,9.300e-05,1.124,0.075,2715
31,10.70046,11.81771,9.600e-05,1.113,0.049,2723
32,10.59806,11.81771,9.900e-05,1.230,0.051,2743
33,10.55013,11.81771,1.020e-04,1.203,0.047,2764
34,10.54853,11.81771,1.050e-04,1.097,0.058,3608
35,10.50419,11.81771,1.080e-04,1.142,0.066,2759
36,10.38867,11.81771,1.110e-04,1.159,0.041,2699
37,10.35521,11.81771,1.140e-04,1.203,0.085,2747
38,10.30207,11.81771,1.170e-04,1.102,0.064,3604
39,10.28707,11.81771,1.200e-04,1.278,0.129,2720
40,10.20936,11.81771,1.230e-04,1.068,0.061,2737
41,10.12728,11.81771,1.260e-04,1.250,0.130,2730
42,10.09414,11.81771,1.290e-04,1.124,0.056,2736
43,10.04531,11.81771,1.320e-04,1.241,0.081,2754
