step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,12.52182,12.51974,3.000e-06,0.928,0.686,6738
1,12.52499,12.51974,6.000e-06,1.043,0.759,15520
2,12.50757,12.51974,9.000e-06,0.971,0.723,15344
3,12.50822,12.51974,1.200e-05,0.937,0.686,15338
4,12.49870,12.51974,1.500e-05,0.963,0.705,15351
5,12.47967,12.51974,1.800e-05,0.988,0.724,15368
6,12.47437,12.51974,2.100e-05,1.067,0.771,15338
7,12.46101,12.51974,2.400e-05,1.016,0.736,15341
8,12.43282,12.51974,2.700e-05,0.958,0.696,15352
9,12.41171,12.51974,3.000e-05,0.963,0.697,15338
10,12.38632,12.51974,3.300e-05,0.947,0.680,15349
11,12.35633,12.51974,3.600e-05,0.955,0.686,15349
12,12.32623,12.51974,3.900e-05,0.986,0.680,15382
13,12.29678,12.51974,4.200e-05,0.949,0.648,15362
14,12.26474,12.51974,4.500e-05,0.990,0.641,15353
15,12.21873,12.51974,4.800e-05,0.963,0.619,15339
16,12.18849,12.51974,5.100e-05,0.937,0.591,15338
17,12.15572,12.51974,5.400e-05,0.956,0.548,15345
18,12.10047,12.51974,5.700e-05,0.981,0.533,15341
19,12.05438,12.51974,6.000e-05,1.033,0.511,15363
20,12.01421,12.51974,6.300e-05,0.947,0.450,15317
21,11.97802,12.51974,6.600e-05,0.955,0.420,15298
22,11.90779,12.51974,6.900e-05,0.991,0.412,15295
23,11.85667,12.51974,7.200e-05,1.037,0.359,15284
24,11.81734,12.51974,7.500e-05,1.051,0.325,15280
25,11.76710,12.51974,7.800e-05,1.094,0.296,15272
26,11.69936,12.51974,8.100e-05,1.133,0.279,15295
27,11.65473,12.51974,8.400e-05,1.064,0.257,15308
28,11.59958,12.51974,8.700e-05,1.116,0.242,15293
29,11.53867,12.51974,9.000e-05,1.113,0.241,15308
30,11.49657,12.51974,9.300e-05,1.096,0.216,15274
31,11.43493,12.51974,9.600e-05,1.154,0.202,15288
32,11.39764,12.51974,9.900e-05,1.099,0.192,15278
33,11.32813,12.51974,1.020e-04,1.151,0.172,15276
34,11.26778,12.51974,1.050e-04,1.269,0.183,15299
35,11.22478,12.51974,1.080e-04,1.173,0.157,15288
36,11.15923,12.51974,1.110e-04,1.148,0.142,15283
37,11.07786,12.51974,1.140e-04,1.168,0.148,15294
38,11.01876,12.51974,1.170e-04,1.236,0.144,15286
39,10.97278,12.51974,1.200e-04,1.216,0.131,15288
40,10.88927,12.51974,1.230e-04,1.214,0.129,15316
41,10.84180,12.51974,1.260e-04,1.165,0.145,15301
42,10.76915,12.51974,1.290e-04,1.133,0.128,15298
43,10.69983,12.51974,1.320e-04,1.266,0.155,15293
44,10.64891,12.51974,1.350e-04,1.215,0.117,15297
45,10.55601,12.51974,1.380e-04,1.163,0.109,15280
46,10.47635,12.51974,1.410e-04,1.171,0.095,15288
47,10.40056,12.51974,1.440e-04,1.211,0.087,15285
48,10.34760,12.51974,1.470e-04,1.126,0.086,15311
49,10.24766,12.51974,1.500e-04,1.196,0.084,15288
50,10.15848,12.51974,1.530e-04,1.196,0.091,15300
51,10.12381,12.51974,1.560e-04,1.433,0.090,15293
52,10.01836,12.51974,1.590e-04,1.274,0.089,15297
53,9.89499,12.51974,1.620e-04,1.187,0.096,15292
54,9.85840,12.51974,1.650e-04,1.229,0.096,15291
55,9.77818,12.51974,1.680e-04,1.120,0.134,15329
56,9.65564,12.51974,1.710e-04,1.175,0.126,15305
57,9.63387,12.51974,1.740e-04,1.337,0.142,15287
58,9.47015,12.51974,1.770e-04,1.139,0.086,15293
59,9.48325,12.51974,1.800e-04,1.130,0.094,15279
60,9.37417,12.51974,1.830e-04,1.110,0.073,15304
61,9.29665,12.51974,1.860e-04,1.161,0.067,15284
62,9.17478,12.51974,1.890e-04,1.125,0.068,15324
63,9.11928,12.51974,1.920e-04,1.146,0.072,15298
64,9.03242,12.51974,1.950e-04,1.228,0.074,15290
65,8.91920,12.51974,1.980e-04,1.159,0.073,15281
66,8.88141,12.51974,2.010e-04,1.165,0.070,15287
67,8.82538,12.51974,2.040e-04,1.184,0.078,15287
68,8.72603,12.51974,2.070e-04,1.215,0.071,15277
69,8.63816,12.51974,2.100e-04,1.147,0.067,15309
70,8.64578,12.51974,2.130e-04,1.323,0.087,15321
71,8.46952,12.51974,2.160e-04,1.091,0.071,15284
72,8.41069,12.51974,2.190e-04,1.056,0.082,15293
73,8.32614,12.51974,2.220e-04,1.097,0.090,15284
74,8.27921,12.51974,2.250e-04,1.099,0.073,15306
75,8.17120,12.51974,2.280e-04,0.979,0.089,15286
76,8.15577,12.51974,2.310e-04,1.103,0.087,15323
77,8.06222,12.51974,2.340e-04,1.112,0.093,15303
78,7.97912,12.51974,2.370e-04,0.994,0.078,15294
79,7.99739,12.51974,2.400e-04,1.109,0.083,15303
80,7.72848,12.51974,2.430e-04,0.887,0.130,15284
81,7.87813,12.51974,2.460e-04,0.944,0.093,15278
82,7.63364,12.51974,2.490e-04,0.870,0.171,15286
83,7.78303,12.51974,2.520e-04,0.903,0.121,15329
84,7.71067,12.51974,2.550e-04,0.892,0.126,15293
85,7.61721,12.51974,2.580e-04,0.882,0.101,15290
86,7.66455,12.51974,2.610e-04,0.868,0.120,15274
87,7.59632,12.51974,2.640e-04,0.862,0.124,15306
88,7.40314,12.51974,2.670e-04,0.770,0.122,15296
89,7.39746,12.51974,2.700e-04,0.811,0.103,15290
90,7.42770,12.51974,2.730e-04,0.778,0.168,15331
91,7.47163,12.51974,2.760e-04,0.748,0.158,15296
