step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,12.55685,12.53096,3.000e-06,5.340,0.898,6744
1,12.53648,12.53096,6.000e-06,6.153,0.999,15545
2,12.48228,12.53096,9.000e-06,5.573,0.908,15360
3,12.40787,12.53096,1.200e-05,4.565,0.707,15342
4,12.34025,12.53096,1.500e-05,3.809,0.534,15334
5,12.24986,12.53096,1.800e-05,3.168,0.395,15361
6,12.20391,12.53096,2.100e-05,3.119,0.399,15340
7,12.15448,12.53096,2.400e-05,2.603,0.300,15319
8,12.13393,12.53096,2.700e-05,2.019,0.197,15341
9,12.07913,12.53096,3.000e-05,1.890,0.223,15315
10,12.04810,12.53096,3.300e-05,1.749,0.228,15327
11,12.02540,12.53096,3.600e-05,1.551,0.166,15294
12,11.96529,12.53096,3.900e-05,1.562,0.129,15286
13,11.95683,12.53096,4.200e-05,1.494,0.163,15310
14,11.89046,12.53096,4.500e-05,1.436,0.079,15326
15,11.88696,12.53096,4.800e-05,1.317,0.083,15337
16,11.88451,12.53096,5.100e-05,1.368,0.146,15302
17,11.83644,12.53096,5.400e-05,1.324,0.098,15310
18,11.80230,12.53096,5.700e-05,1.355,0.119,15324
19,11.76910,12.53096,6.000e-05,1.545,0.195,15308
20,11.75729,12.53096,6.300e-05,1.230,0.095,15320
21,11.73530,12.53096,6.600e-05,1.319,0.144,15309
22,11.67193,12.53096,6.900e-05,1.264,0.107,15352
23,11.61287,12.53096,7.200e-05,1.287,0.081,15325
24,11.58731,12.53096,7.500e-05,1.325,0.112,15307
25,11.53464,12.53096,7.800e-05,1.422,0.114,15312
26,11.47139,12.53096,8.100e-05,1.317,0.092,15305
27,11.45183,12.53096,8.400e-05,1.300,0.151,15320
28,11.38983,12.53096,8.700e-05,1.290,0.122,15299
29,11.32934,12.53096,9.000e-05,1.281,0.110,15338
30,11.29474,12.53096,9.300e-05,1.224,0.088,15322
31,11.23529,12.53096,9.600e-05,1.234,0.071,15311
32,11.20064,12.53096,9.900e-05,1.226,0.102,15306
33,11.14211,12.53096,1.020e-04,1.236,0.080,15295
34,11.06198,12.53096,1.050e-04,1.357,0.089,15298
35,11.02464,12.53096,1.080e-04,1.252,0.091,15311
36,10.96486,12.53096,1.110e-04,1.196,0.066,15331
37,10.86765,12.53096,1.140e-04,1.238,0.079,15334
38,10.80676,12.53096,1.170e-04,1.277,0.075,15313
39,10.76176,12.53096,1.200e-04,1.277,0.087,15302
40,10.68289,12.53096,1.230e-04,1.255,0.074,15320
41,10.63231,12.53096,1.260e-04,1.244,0.093,15303
42,10.56151,12.53096,1.290e-04,1.185,0.089,15288
43,10.48299,12.53096,1.320e-04,1.331,0.104,15334
44,10.43412,12.53096,1.350e-04,1.277,0.096,15332
45,10.34890,12.53096,1.380e-04,1.260,0.126,15304
46,10.26285,12.53096,1.410e-04,1.228,0.100,15309
47,10.18833,12.53096,1.440e-04,1.292,0.127,15307
48,10.13741,12.53096,1.470e-04,1.168,0.101,15319
49,10.02626,12.53096,1.500e-04,1.233,0.086,15291
50,9.94751,12.53096,1.530e-04,1.233,0.090,15327
51,9.89622,12.53096,1.560e-04,1.485,0.106,15340
52,9.79274,12.53096,1.590e-04,1.312,0.092,15285
53,9.67571,12.53096,1.620e-04,1.205,0.068,15319
54,9.64172,12.53096,1.650e-04,1.249,0.075,15314
55,9.57598,12.53096,1.680e-04,1.168,0.087,15323
56,9.43876,12.53096,1.710e-04,1.220,0.092,15317
57,9.41364,12.53096,1.740e-04,1.377,0.093,15317
58,9.26448,12.53096,1.770e-04,1.249,0.112,15334
59,9.28089,12.53096,1.800e-04,1.243,0.117,15322
60,9.17254,12.53096,1.830e-04,1.183,0.096,15285
61,9.09267,12.53096,1.860e-04,1.321,0.142,15305
62,8.98050,12.53096,1.890e-04,1.161,0.072,15313
63,8.91999,12.53096,1.920e-04,1.252,0.130,15307
64,8.82860,12.53096,1.950e-04,1.251,0.077,15321
65,8.72845,12.53096,1.980e-04,1.211,0.104,15344
66,8.69142,12.53096,2.010e-04,1.201,0.093,15311
67,8.64179,12.53096,2.040e-04,1.285,0.157,15310
68,8.55187,12.53096,2.070e-04,1.332,0.158,15302
69,8.46425,12.53096,2.100e-04,1.164,0.072,15314
70,8.47496,12.53096,2.130e-04,1.342,0.084,15288
71,8.29266,12.53096,2.160e-04,1.106,0.071,15323
72,8.24141,12.53096,2.190e-04,1.117,0.084,15351
73,8.16556,12.53096,2.220e-04,1.158,0.122,15322
74,8.13254,12.53096,2.250e-04,1.523,0.374,15301
75,8.02385,12.53096,2.280e-04,1.055,0.126,15317
76,8.01375,12.53096,2.310e-04,1.267,0.198,15309
77,7.91135,12.53096,2.340e-04,1.160,0.104,15302
78,7.83796,12.53096,2.370e-04,1.123,0.152,15298
79,7.86165,12.53096,2.400e-04,1.119,0.063,15340
80,7.58777,12.53096,2.430e-04,1.002,0.141,15322
81,7.75896,12.53096,2.460e-04,1.049,0.104,15305
82,7.50126,12.53096,2.490e-04,0.876,0.082,15305
83,7.66419,12.53096,2.520e-04,1.056,0.124,15309
84,7.59074,12.53096,2.550e-04,0.936,0.096,15291
85,7.50657,12.53096,2.580e-04,0.971,0.082,15310
86,7.56041,12.53096,2.610e-04,0.965,0.147,15334
87,7.49397,12.53096,2.640e-04,0.887,0.096,15325
88,7.29536,12.53096,2.670e-04,0.780,0.106,15290
89,7.30146,12.53096,2.700e-04,0.865,0.110,15311
90,7.32543,12.53096,2.730e-04,0.741,0.049,15307
91,7.37557,12.53096,2.760e-04,0.766,0.101,15288
92,7.20721,12.53096,2.790e-04,0.616,0.071,15298
93,7.14195,12.53096,2.820e-04,0.629,0.075,15330
94,7.09225,12.53096,2.850e-04,0.612,0.103,15348
95,7.12812,12.53096,2.880e-04,0.622,0.131,15289
96,7.11389,12.53096,2.910e-04,0.621,0.120,15321
97,7.05241,12.53096,2.940e-04,0.562,0.106,15320
98,7.04412,12.53096,2.970e-04,0.545,0.099,15296
99,7.00731,12.53096,3.000e-04,0.663,0.127,15298
100,7.07181,12.53096,3.030e-04,0.563,0.151,15289
101,6.98129,12.53096,3.060e-04,0.504,0.110,15322
102,7.01636,12.53096,3.090e-04,0.482,0.106,15297
103,6.95592,12.53096,3.120e-04,0.535,0.154,15300
104,6.91966,12.53096,3.150e-04,0.573,0.126,15307
105,7.04383,12.53096,3.180e-04,0.528,0.127,15305
106,6.88823,12.53096,3.210e-04,0.527,0.110,15271
107,6.96881,12.53096,3.240e-04,0.543,0.160,15301
