step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,12.55521,12.52466,3.000e-06,5.546,0.615,6768
1,12.53609,12.52466,6.000e-06,6.433,0.695,15607
2,12.47012,12.52466,9.000e-06,5.618,0.612,15431
3,12.40217,12.52466,1.200e-05,4.652,0.489,15433
4,12.32708,12.52466,1.500e-05,3.821,0.364,15463
5,12.24792,12.52466,1.800e-05,3.193,0.285,15423
6,12.19305,12.52466,2.100e-05,3.016,0.274,15444
7,12.14547,12.52466,2.400e-05,2.456,0.209,15421
8,12.12810,12.52466,2.700e-05,2.048,0.161,15362
9,12.06872,12.52466,3.000e-05,1.886,0.162,15359
10,12.04032,12.52466,3.300e-05,1.702,0.146,15380
11,12.01316,12.52466,3.600e-05,1.527,0.116,15383
12,11.95438,12.52466,3.900e-05,1.582,0.108,15386
13,11.94241,12.52466,4.200e-05,1.491,0.126,15365
14,11.87720,12.52466,4.500e-05,1.449,0.076,15360
15,11.86909,12.52466,4.800e-05,1.329,0.078,15363
16,11.86432,12.52466,5.100e-05,1.382,0.121,15361
17,11.81738,12.52466,5.400e-05,1.345,0.093,15378
18,11.78088,12.52466,5.700e-05,1.437,0.121,15377
19,11.74042,12.52466,6.000e-05,1.573,0.156,15400
20,11.73484,12.52466,6.300e-05,1.238,0.077,15381
21,11.70617,12.52466,6.600e-05,1.391,0.142,15372
22,11.64113,12.52466,6.900e-05,1.277,0.098,15366
23,11.58807,12.52466,7.200e-05,1.313,0.082,15360
24,11.56178,12.52466,7.500e-05,1.441,0.132,15368
25,11.50773,12.52466,7.800e-05,1.322,0.086,15363
26,11.44924,12.52466,8.100e-05,1.446,0.144,15382
27,11.42717,12.52466,8.400e-05,1.194,0.075,15396
28,11.36516,12.52466,8.700e-05,1.250,0.087,15368
29,11.30267,12.52466,9.000e-05,1.276,0.109,15380
30,11.26664,12.52466,9.300e-05,1.185,0.071,15371
31,11.20590,12.52466,9.600e-05,1.262,0.090,15357
32,11.17003,12.52466,9.900e-05,1.180,0.079,15350
33,11.11182,12.52466,1.020e-04,1.264,0.098,15354
34,11.02676,12.52466,1.050e-04,1.343,0.092,15406
35,10.98442,12.52466,1.080e-04,1.289,0.118,15388
36,10.93400,12.52466,1.110e-04,1.205,0.078,15380
37,10.83825,12.52466,1.140e-04,1.260,0.098,15353
38,10.77885,12.52466,1.170e-04,1.321,0.119,15363
39,10.73810,12.52466,1.200e-04,1.319,0.120,15367
40,10.66204,12.52466,1.230e-04,1.291,0.113,15351
41,10.60902,12.52466,1.260e-04,1.251,0.097,15391
42,10.54014,12.52466,1.290e-04,1.234,0.116,15393
43,10.45895,12.52466,1.320e-04,1.333,0.109,15381
44,10.41252,12.52466,1.350e-04,1.285,0.094,15377
45,10.32844,12.52466,1.380e-04,1.276,0.126,15379
46,10.24007,12.52466,1.410e-04,1.209,0.082,15357
47,10.16756,12.52466,1.440e-04,1.311,0.130,15365
48,10.11393,12.52466,1.470e-04,1.152,0.079,15368
49,10.00365,12.52466,1.500e-04,1.244,0.109,15399
50,9.92430,12.52466,1.530e-04,1.220,0.074,15367
51,9.87234,12.52466,1.560e-04,1.466,0.103,15373
52,9.76525,12.52466,1.590e-04,1.297,0.075,15355
53,9.65424,12.52466,1.620e-04,1.209,0.079,15343
54,9.62527,12.52466,1.650e-04,1.272,0.087,15368
55,9.55439,12.52466,1.680e-04,1.152,0.083,15372
56,9.41610,12.52466,1.710e-04,1.188,0.059,15370
57,9.39053,12.52466,1.740e-04,1.399,0.132,15393
58,9.24313,12.52466,1.770e-04,1.239,0.107,15366
59,9.25623,12.52466,1.800e-04,1.260,0.137,15365
60,9.15113,12.52466,1.830e-04,1.189,0.119,15374
61,9.06950,12.52466,1.860e-04,1.309,0.141,15359
62,8.95723,12.52466,1.890e-04,1.190,0.107,15371
63,8.90041,12.52466,1.920e-04,1.292,0.165,15348
64,8.80763,12.52466,1.950e-04,1.254,0.097,15384
65,8.70607,12.52466,1.980e-04,1.228,0.110,15400
66,8.67119,12.52466,2.010e-04,1.174,0.068,15366
67,8.62050,12.52466,2.040e-04,1.227,0.111,15357
68,8.52767,12.52466,2.070e-04,1.239,0.087,15358
69,8.44752,12.52466,2.100e-04,1.187,0.107,15367
70,8.45753,12.52466,2.130e-04,1.362,0.125,15360
71,8.27421,12.52466,2.160e-04,1.195,0.152,15347
72,8.21902,12.52466,2.190e-04,1.097,0.094,15403
73,8.14711,12.52466,2.220e-04,1.183,0.118,15368
74,8.11225,12.52466,2.250e-04,1.343,0.256,15367
75,8.00113,12.52466,2.280e-04,1.060,0.126,15365
76,7.99409,12.52466,2.310e-04,1.228,0.169,15376
77,7.89403,12.52466,2.340e-04,1.187,0.137,15372
78,7.81710,12.52466,2.370e-04,1.127,0.148,15348
79,7.84203,12.52466,2.400e-04,1.135,0.086,15383
80,7.56597,12.52466,2.430e-04,1.153,0.161,15396
81,7.74181,12.52466,2.460e-04,1.034,0.134,15358
82,7.48526,12.52466,2.490e-04,0.962,0.100,15384
83,7.64702,12.52466,2.520e-04,1.054,0.134,15361
84,7.58269,12.52466,2.550e-04,1.056,0.157,15365
85,7.49071,12.52466,2.580e-04,0.958,0.139,15361
86,7.55193,12.52466,2.610e-04,1.048,0.169,15357
87,7.48037,12.52466,2.640e-04,0.927,0.149,15386
88,7.28465,12.52466,2.670e-04,0.860,0.149,15394
89,7.28631,12.52466,2.700e-04,0.854,0.107,15393
90,7.32012,12.52466,2.730e-04,0.822,0.138,15357
91,7.36233,12.52466,2.760e-04,0.766,0.090,15384
92,7.19623,12.52466,2.790e-04,0.692,0.130,15373
93,7.13170,12.52466,2.820e-04,0.666,0.113,15365
94,7.08008,12.52466,2.850e-04,0.621,0.106,15369
95,7.11952,12.52466,2.880e-04,0.615,0.101,15382
96,7.10086,12.52466,2.910e-04,0.642,0.111,15388
97,7.04066,12.52466,2.940e-04,0.554,0.105,15372
98,7.03338,12.52466,2.970e-04,0.559,0.108,15370
99,7.00233,12.52466,3.000e-04,0.868,0.208,15370
100,7.06683,12.52466,3.030e-04,0.765,0.172,15380
101,6.96863,12.52466,3.060e-04,0.504,0.125,15364
102,7.00714,12.52466,3.090e-04,0.658,0.154,15385
103,6.94416,12.52466,3.120e-04,0.551,0.176,15403
104,6.91832,12.52466,3.150e-04,1.012,0.270,15377
105,7.03880,12.52466,3.180e-04,0.639,0.182,15358
106,6.89011,12.52466,3.210e-04,0.817,0.218,15362
107,6.96834,12.52466,3.240e-04,0.793,0.245,15360
108,6.90077,12.52466,3.270e-04,0.742,0.209,15369
109,6.90278,12.52466,3.300e-04,0.725,0.238,15388
110,6.87828,12.52466,3.330e-04,1.054,0.298,15387
111,6.80917,12.52466,3.360e-04,0.734,0.287,15381
112,6.73022,12.52466,3.390e-04,0.509,0.159,15385
113,6.91679,12.52466,3.420e-04,0.782,0.316,15359
114,6.77269,12.52466,3.450e-04,0.475,0.134,15358
115,6.89807,12.52466,3.480e-04,0.638,0.224,15365
116,6.88911,12.52466,3.510e-04,0.611,0.223,15379
117,6.71638,12.52466,3.540e-04,0.624,0.214,15393
118,6.78347,12.52466,3.570e-04,0.514,0.176,15387
119,6.67787,12.52466,3.600e-04,0.745,0.263,15386
120,6.77028,12.52466,3.630e-04,0.587,0.229,15377
121,6.77147,12.52466,3.660e-04,0.479,0.141,15353
122,6.66002,12.52466,3.690e-04,0.553,0.202,15366
123,6.72603,12.52466,3.720e-04,0.558,0.188,15367
124,6.79101,12.52466,3.750e-04,0.529,0.192,15357
125,6.53360,12.52466,3.780e-04,0.542,0.236,15383
126,6.70629,12.52466,3.810e-04,0.564,0.183,15405
127,6.77953,12.52466,3.840e-04,0.571,0.210,15347
128,6.65704,12.52466,3.870e-04,0.507,0.210,15360
129,6.71504,12.52466,3.900e-04,0.480,0.174,15363
130,6.60528,12.52466,3.930e-04,0.529,0.172,15369
131,6.65613,12.52466,3.960e-04,0.492,0.159,15359
132,6.76063,12.52466,3.990e-04,0.694,0.270,15375
133,6.59681,12.52466,4.020e-04,0.626,0.226,15382
134,6.60842,12.52466,4.050e-04,0.414,0.131,15388
135,6.68310,12.52466,4.080e-04,0.530,0.170,15366
136,6.53810,12.52466,4.110e-04,0.544,0.177,15377
137,6.37129,12.52466,4.140e-04,0.523,0.220,15374
138,6.51363,12.52466,4.170e-04,0.573,0.287,15357
139,6.75880,12.52466,4.200e-04,0.622,0.251,15372
140,6.62924,12.52466,4.230e-04,0.945,0.373,15369
141,6.46535,12.52466,4.260e-04,0.631,0.240,15399
142,6.57161,12.52466,4.290e-04,0.571,0.201,15371
143,6.54978,12.52466,4.320e-04,0.567,0.259,15369
144,6.39553,12.52466,4.350e-04,0.744,0.387,15350
145,6.48262,12.52466,4.380e-04,0.676,0.318,15361
146,6.43062,12.52466,4.410e-04,0.724,0.380,15364
