step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,12.02638,12.02101,3.000e-06,1.932,1.455,6369
1,12.02384,12.02101,6.000e-06,2.196,1.656,23773
2,12.01172,12.02101,9.000e-06,2.260,1.711,23809
3,12.00469,12.02101,1.200e-05,1.852,1.396,23664
4,11.98441,12.02101,1.500e-05,1.950,1.471,23653
5,11.96002,12.02101,1.800e-05,1.751,1.316,23597
6,11.93996,12.02101,2.100e-05,1.678,1.256,23569
7,11.91017,12.02101,2.400e-05,1.885,1.414,23689
8,11.86037,12.02101,2.700e-05,2.161,1.615,23572
9,11.83469,12.02101,3.000e-05,1.920,1.423,23593
10,11.77658,12.02101,3.300e-05,2.000,1.467,23609
11,11.75410,12.02101,3.600e-05,1.809,1.302,23557
12,11.64565,12.02101,3.900e-05,2.251,1.592,23652
13,11.61126,12.02101,4.200e-05,1.997,1.375,23587
14,11.54085,12.02101,4.500e-05,2.032,1.357,23523
15,11.53647,12.02101,4.800e-05,1.791,1.157,23669
16,11.42963,12.02101,5.100e-05,1.917,1.172,23558
17,11.33073,12.02101,5.400e-05,2.025,1.161,23318
18,11.31907,12.02101,5.700e-05,1.793,0.958,23856
19,11.21213,12.02101,6.000e-05,1.930,0.941,23545
20,11.05783,12.02101,6.300e-05,2.172,0.956,23633
21,11.22232,12.02101,6.600e-05,1.579,0.669,23486
22,10.99739,12.02101,6.900e-05,1.992,0.721,23509
23,11.00763,12.02101,7.200e-05,1.844,0.612,23525
24,10.96031,12.02101,7.500e-05,1.838,0.556,23488
25,10.90367,12.02101,7.800e-05,1.854,0.514,23572
26,10.70343,12.02101,8.100e-05,2.182,0.536,23161
27,10.63511,12.02101,8.400e-05,2.214,0.507,23808
28,10.59306,12.02101,8.700e-05,2.187,0.461,23525
29,10.57471,12.02101,9.000e-05,2.133,0.425,23431
30,10.59428,12.02101,9.300e-05,1.987,0.390,23571
31,10.56493,12.02101,9.600e-05,1.938,0.374,23492
32,10.53170,12.02101,9.900e-05,1.922,0.355,23501
33,10.47077,12.02101,1.020e-04,1.935,0.347,23527
34,10.36832,12.02101,1.050e-04,2.003,0.353,23173
35,10.24466,12.02101,1.080e-04,2.109,0.331,23893
36,10.12638,12.02101,1.110e-04,2.210,0.344,23501
37,9.98092,12.02101,1.140e-04,2.363,0.355,23467
38,10.04362,12.02101,1.170e-04,2.100,0.298,23564
39,9.83740,12.02101,1.200e-04,2.321,0.333,23460
40,9.95625,12.02101,1.230e-04,1.969,0.267,23544
41,9.72700,12.02101,1.260e-04,2.241,0.301,23450
42,9.64950,12.02101,1.290e-04,2.241,0.296,23457
43,9.72424,12.02101,1.320e-04,1.983,0.286,23589
44,9.61739,12.02101,1.350e-04,2.020,0.300,23183
45,9.52029,12.02101,1.380e-04,2.058,0.311,23818
46,9.38482,12.02101,1.410e-04,2.126,0.311,23499
47,9.16679,12.02101,1.440e-04,2.292,0.301,23470
48,9.24056,12.02101,1.470e-04,2.050,0.253,23562
49,8.99787,12.02101,1.500e-04,2.272,0.275,23478
50,9.19591,12.02101,1.530e-04,1.905,0.214,23550
51,9.09716,12.02101,1.560e-04,1.910,0.210,23518
52,8.94249,12.02101,1.590e-04,2.002,0.200,23435
53,8.53722,12.02101,1.620e-04,2.419,0.246,23586
54,8.65238,12.02101,1.650e-04,2.132,0.227,23439
55,8.49427,12.02101,1.680e-04,2.197,0.238,23567
56,8.26456,12.02101,1.710e-04,2.372,0.224,23516
57,8.18381,12.02101,1.740e-04,2.310,0.240,23501
58,8.04274,12.02101,1.770e-04,2.405,0.281,23554
59,7.94858,12.02101,1.800e-04,2.370,0.234,23357
60,8.07259,12.02101,1.830e-04,2.088,0.232,23641
61,8.05808,12.02101,1.860e-04,1.987,0.182,23521
62,8.01837,12.02101,1.890e-04,1.905,0.156,23450
63,7.95531,12.02101,1.920e-04,1.886,0.167,23590
64,7.71098,12.02101,1.950e-04,1.989,0.161,23443
65,7.54542,12.02101,1.980e-04,2.038,0.171,23480
66,7.44415,12.02101,2.010e-04,1.982,0.188,23525
67,7.47508,12.02101,2.040e-04,1.847,0.184,23500
68,7.18666,12.02101,2.070e-04,2.009,0.195,23368
69,7.42086,12.02101,2.100e-04,1.723,0.144,23668
70,6.81445,12.02101,2.130e-04,2.128,0.194,23460
71,7.06575,12.02101,2.160e-04,1.764,0.222,23568
72,6.56648,12.02101,2.190e-04,2.046,0.205,23449
73,6.65155,12.02101,2.220e-04,1.866,0.216,23545
74,6.34506,12.02101,2.250e-04,1.951,0.180,23475
75,6.58069,12.02101,2.280e-04,1.685,0.236,23477
76,6.28727,12.02101,2.310e-04,1.800,0.243,23549
77,6.44086,12.02101,2.340e-04,1.595,0.273,23464
78,6.30822,12.02101,2.370e-04,1.591,0.181,23546
79,5.78149,12.02101,2.400e-04,1.790,0.378,23459
80,6.16157,12.02101,2.430e-04,1.451,0.172,23461
81,6.21471,12.02101,2.460e-04,1.339,0.200,23555
82,5.39773,12.02101,2.490e-04,1.734,0.434,23492
83,6.10110,12.02101,2.520e-04,1.269,0.410,23534
84,5.68389,12.02101,2.550e-04,1.358,0.327,23496
85,5.87312,12.02101,2.580e-04,1.193,0.265,23456
86,5.24485,12.02101,2.610e-04,1.470,0.680,23578
87,5.46945,12.02101,2.640e-04,1.317,0.644,23444
88,5.01862,12.02101,2.670e-04,1.387,0.597,23534
89,5.15181,12.02101,2.700e-04,1.107,0.270,23530
90,4.91141,12.02101,2.730e-04,1.156,0.395,23433
91,5.59292,12.02101,2.760e-04,0.911,0.332,23519
92,5.17142,12.02101,2.790e-04,0.887,0.270,23466
93,4.97538,12.02101,2.820e-04,1.266,0.848,23539
94,5.14870,12.02101,2.850e-04,1.120,0.839,23481
95,5.22427,12.02101,2.880e-04,0.779,0.389,23418
96,5.22463,12.02101,2.910e-04,0.964,0.654,23530
97,4.91973,12.02101,2.940e-04,0.734,0.315,23425
98,5.13808,12.02101,2.970e-04,0.900,0.518,23437
99,4.87320,12.02101,3.000e-04,0.876,0.610,23491
100,5.07472,12.02101,3.030e-04,0.817,0.558,23477
101,5.09105,12.02101,3.060e-04,0.849,0.607,23506
102,4.39427,12.02101,3.090e-04,0.928,0.679,23467
103,4.68799,12.02101,3.120e-04,0.636,0.419,23490
104,4.66182,12.02101,3.150e-04,0.880,0.701,23500
105,4.69733,12.02101,3.180e-04,0.656,0.446,23453
106,4.80172,12.02101,3.210e-04,0.578,0.357,23539
107,5.06001,12.02101,3.240e-04,0.620,0.461,23447
108,4.33016,12.02101,3.270e-04,0.669,0.478,23440
109,4.26742,12.02101,3.300e-04,0.506,0.283,23528
110,4.44836,12.02101,3.330e-04,0.567,0.383,23415
111,4.69482,12.02101,3.360e-04,0.569,0.422,23203
112,4.91258,12.02101,3.390e-04,0.533,0.347,23628
113,4.77631,12.02101,3.420e-04,0.424,0.233,23545
114,4.81529,12.02101,3.450e-04,0.432,0.272,23515
115,3.87414,12.02101,3.480e-04,0.558,0.358,23391
116,4.83128,12.02101,3.510e-04,0.388,0.232,23608
117,5.49271,12.02101,3.540e-04,0.609,0.384,23436
118,4.54922,12.02101,3.570e-04,0.784,0.582,23494
119,5.13471,12.02101,3.600e-04,0.456,0.278,23556
120,5.00741,12.02101,3.630e-04,1.210,0.912,23163
121,4.08888,12.02101,3.660e-04,0.454,0.324,23798
122,4.85185,12.02101,3.690e-04,0.887,0.644,23453
123,4.27718,12.02101,3.720e-04,0.555,0.386,23428
124,4.60073,12.02101,3.750e-04,0.719,0.497,23549
125,4.44070,12.02101,3.780e-04,0.687,0.521,23440
126,4.86338,12.02101,3.810e-04,0.399,0.257,23497
127,4.57012,12.02101,3.840e-04,0.498,0.339,23481
128,3.67671,12.02101,3.870e-04,0.510,0.321,23433
129,4.78180,12.02101,3.900e-04,0.485,0.366,23599
130,3.92198,12.02101,3.930e-04,0.502,0.375,23422
131,3.71499,12.02101,3.960e-04,0.598,0.485,23476
132,4.68933,12.02101,3.990e-04,0.485,0.373,23492
133,4.51491,12.02101,4.020e-04,0.400,0.269,23423
134,4.28457,12.02101,4.050e-04,0.573,0.467,23564
135,4.44508,12.02101,4.080e-04,0.438,0.324,23412
136,4.11443,12.02101,4.110e-04,0.506,0.381,23490
137,4.55222,12.02101,4.140e-04,0.439,0.288,23480
138,4.13583,12.02101,4.170e-04,0.368,0.242,23444
139,4.13516,12.02101,4.200e-04,0.353,0.243,23541
140,4.51647,12.02101,4.230e-04,0.349,0.245,23440
141,4.43478,12.02101,4.260e-04,0.360,0.240,23461
142,4.18449,12.02101,4.290e-04,0.365,0.245,23474
143,4.56518,12.02101,4.320e-04,0.434,0.320,23444
144,4.48187,12.02101,4.350e-04,0.357,0.251,23523
145,4.61525,12.02101,4.380e-04,0.366,0.236,23466
146,4.30410,12.02101,4.410e-04,0.548,0.425,23494
147,4.82005,12.02101,4.440e-04,0.451,0.326,23485
148,4.00124,12.02101,4.470e-04,0.620,0.485,23152
149,4.31267,12.02101,4.500e-04,0.654,0.503,23802
150,4.25307,12.02101,4.530e-04,0.601,0.467,23464
151,4.17765,12.02101,4.560e-04,0.654,0.503,23491
152,4.53094,12.02101,4.590e-04,0.433,0.356,23456
153,4.33510,12.02101,4.620e-04,0.708,0.528,23494
154,4.45578,12.02101,4.650e-04,0.572,0.394,23542
155,3.79751,12.02101,4.680e-04,0.484,0.363,23447
156,4.24604,12.02101,4.710e-04,0.625,0.447,23436
157,4.38129,12.02101,4.740e-04,0.585,0.442,23554
158,4.32072,12.02101,4.770e-04,0.605,0.472,23453
159,4.60005,12.02101,4.800e-04,0.616,0.469,23548
160,4.64529,12.02101,4.830e-04,0.372,0.267,23107
161,4.01591,12.02101,4.860e-04,0.538,0.388,23743
162,4.24120,12.02101,4.890e-04,0.586,0.436,23513
163,4.11956,12.02101,4.920e-04,0.425,0.300,23478
164,4.16275,12.02101,4.950e-04,0.555,0.442,23529
165,4.59762,12.02101,4.980e-04,0.630,0.496,23434
166,4.31119,12.02101,5.010e-04,0.414,0.297,23442
167,4.30604,12.02101,5.040e-04,0.432,0.355,23519
168,4.03073,12.02101,5.070e-04,0.519,0.370,23423
169,3.72624,12.02101,5.100e-04,0.485,0.366,23520
170,4.16924,12.02101,5.130e-04,0.419,0.311,23484
171,4.21036,12.02101,5.160e-04,0.517,0.394,23470
172,4.14956,12.02101,5.190e-04,0.415,0.313,23527
173,4.64683,12.02101,5.220e-04,0.407,0.318,23421
174,3.94871,12.02101,5.250e-04,0.503,0.399,23513
175,4.20583,12.02101,5.280e-04,0.383,0.276,23476
176,4.36171,12.02101,5.310e-04,0.372,0.286,23418
177,3.89179,12.02101,5.340e-04,0.386,0.266,23518
178,4.22143,12.02101,5.370e-04,0.385,0.271,23467
179,4.17465,12.02101,5.400e-04,0.466,0.371,23472
180,4.60433,12.02101,5.430e-04,0.408,0.317,23495
181,3.90221,12.02101,5.460e-04,0.355,0.243,23427
182,4.07179,12.02101,5.490e-04,0.408,0.309,23535
183,4.17696,12.02101,5.520e-04,0.590,0.475,23429
184,4.24885,12.02101,5.550e-04,0.463,0.327,23447
185,4.57233,12.02101,5.580e-04,0.580,0.452,23486
186,4.49913,12.02101,5.610e-04,0.446,0.346,23401
187,3.99328,12.02101,5.640e-04,0.456,0.335,23513
188,4.40733,12.02101,5.670e-04,0.405,0.301,23432
189,4.42685,12.02101,5.700e-04,0.409,0.302,23484
190,4.01325,12.02101,5.730e-04,0.423,0.328,23471
191,4.54019,12.02101,5.760e-04,0.499,0.418,23437
192,4.31477,12.02101,5.790e-04,0.378,0.280,23507
193,4.65431,12.02101,5.820e-04,0.356,0.264,23454
