step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.97767,11.92855,3.000e-06,9.644,1.501,6320
1,11.91801,11.92855,6.000e-06,10.600,1.621,23659
2,11.82417,11.92855,9.000e-06,9.560,1.406,23305
3,11.76191,11.92855,1.200e-05,6.867,0.955,23671
4,11.62223,11.92855,1.500e-05,5.970,0.746,23466
5,11.56178,11.92855,1.800e-05,4.731,0.558,23549
6,11.47983,11.92855,2.100e-05,4.166,0.484,23306
7,11.33882,11.92855,2.400e-05,3.800,0.354,23596
8,11.18942,11.92855,2.700e-05,3.963,0.337,23550
9,11.17191,11.92855,3.000e-05,3.259,0.282,23406
10,11.08483,11.92855,3.300e-05,2.959,0.241,23527
11,11.07717,11.92855,3.600e-05,2.710,0.268,23462
12,10.88084,11.92855,3.900e-05,3.075,0.245,23440
13,10.88732,11.92855,4.200e-05,2.689,0.210,23538
14,10.86581,11.92855,4.500e-05,2.797,0.274,23459
15,10.91683,11.92855,4.800e-05,2.906,0.412,23516
16,10.78523,11.92855,5.100e-05,2.588,0.189,23473
17,10.71434,11.92855,5.400e-05,2.839,0.304,23468
18,10.77314,11.92855,5.700e-05,2.699,0.359,23546
19,10.67105,11.92855,6.000e-05,2.697,0.308,23492
20,10.50397,11.92855,6.300e-05,3.125,0.344,23505
21,10.73345,11.92855,6.600e-05,2.113,0.206,23477
22,10.49392,11.92855,6.900e-05,2.685,0.322,23477
23,10.54535,11.92855,7.200e-05,2.970,0.517,23529
24,10.49305,11.92855,7.500e-05,2.222,0.242,23452
25,10.44524,11.92855,7.800e-05,2.229,0.261,23495
26,10.23252,11.92855,8.100e-05,2.569,0.279,23470
27,10.17696,11.92855,8.400e-05,2.399,0.177,23434
28,10.15222,11.92855,8.700e-05,2.618,0.336,23535
29,10.13969,11.92855,9.000e-05,2.320,0.228,23439
30,10.19137,11.92855,9.300e-05,2.195,0.224,23477
31,10.16004,11.92855,9.600e-05,2.127,0.211,23511
32,10.14282,11.92855,9.900e-05,2.074,0.190,23411
