step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.97820,11.92721,3.000e-06,9.540,0.991,6390
1,11.92151,11.92721,6.000e-06,10.705,1.100,23908
2,11.83102,11.92721,9.000e-06,9.887,0.954,23696
3,11.74460,11.92721,1.200e-05,7.086,0.647,23620
4,11.62181,11.92721,1.500e-05,6.129,0.500,23697
5,11.55474,11.92721,1.800e-05,4.719,0.368,23644
6,11.47401,11.92721,2.100e-05,4.148,0.339,23582
7,11.33056,11.92721,2.400e-05,3.869,0.283,23754
8,11.17920,11.92721,2.700e-05,3.977,0.263,23628
9,11.16161,11.92721,3.000e-05,3.247,0.211,23677
10,11.07008,11.92721,3.300e-05,3.005,0.197,23667
11,11.06452,11.92721,3.600e-05,2.750,0.220,23607
12,10.85888,11.92721,3.900e-05,3.071,0.196,23708
13,10.86748,11.92721,4.200e-05,2.704,0.180,23607
14,10.83685,11.92721,4.500e-05,2.807,0.206,23656
15,10.89076,11.92721,4.800e-05,2.864,0.282,23718
16,10.75276,11.92721,5.100e-05,2.654,0.180,23639
17,10.66834,11.92721,5.400e-05,2.813,0.245,23701
18,10.71944,11.92721,5.700e-05,2.600,0.254,23608
19,10.61488,11.92721,6.000e-05,2.603,0.202,23613
20,10.45199,11.92721,6.300e-05,3.004,0.277,23678
21,10.69747,11.92721,6.600e-05,2.116,0.200,23537
22,10.44484,11.92721,6.900e-05,2.568,0.259,23623
23,10.48778,11.92721,7.200e-05,2.534,0.325,23585
24,10.44640,11.92721,7.500e-05,2.177,0.156,23539
25,10.40223,11.92721,7.800e-05,2.182,0.175,23634
26,10.18923,11.92721,8.100e-05,2.437,0.192,23554
27,10.13504,11.92721,8.400e-05,2.354,0.159,23587
28,10.11419,11.92721,8.700e-05,2.547,0.308,23602
29,10.10019,11.92721,9.000e-05,2.241,0.161,23576
30,10.14981,11.92721,9.300e-05,2.115,0.159,23648
31,10.11879,11.92721,9.600e-05,2.101,0.173,23573
32,10.09564,11.92721,9.900e-05,1.967,0.115,23520
33,10.03840,11.92721,1.020e-04,2.137,0.223,23635
34,9.93300,11.92721,1.050e-04,2.025,0.146,23562
35,9.80324,11.92721,1.080e-04,2.194,0.189,23623
36,9.66620,11.92721,1.110e-04,2.266,0.184,23572
37,9.51212,11.92721,1.140e-04,2.399,0.226,23550
38,9.60925,11.92721,1.170e-04,2.267,0.267,23656
39,9.36325,11.92721,1.200e-04,2.314,0.161,23513
40,9.52829,11.92721,1.230e-04,2.182,0.314,23615
41,9.27731,11.92721,1.260e-04,2.375,0.291,23522
42,9.19678,11.92721,1.290e-04,2.329,0.278,23580
43,9.30405,11.92721,1.320e-04,2.221,0.269,23636
44,9.19121,11.92721,1.350e-04,2.156,0.245,23544
45,9.08951,11.92721,1.380e-04,2.145,0.238,23581
46,8.96534,11.92721,1.410e-04,2.155,0.199,23637
47,8.74191,11.92721,1.440e-04,2.374,0.259,23521
48,8.81675,11.92721,1.470e-04,2.110,0.198,23594
49,8.56911,11.92721,1.500e-04,2.416,0.307,23543
50,8.80235,11.92721,1.530e-04,1.994,0.207,23553
51,8.71287,11.92721,1.560e-04,2.035,0.214,23635
52,8.54860,11.92721,1.590e-04,2.048,0.180,23598
53,8.12543,11.92721,1.620e-04,2.501,0.213,23641
54,8.24941,11.92721,1.650e-04,2.150,0.136,23564
55,8.08889,11.92721,1.680e-04,2.221,0.163,23558
56,7.85779,11.92721,1.710e-04,2.322,0.112,23649
57,7.78208,11.92721,1.740e-04,2.316,0.197,23532
58,7.62906,11.92721,1.770e-04,2.341,0.120,23641
59,7.54375,11.92721,1.800e-04,2.343,0.136,23549
60,7.70598,11.92721,1.830e-04,2.063,0.134,23597
61,7.69372,11.92721,1.860e-04,1.985,0.118,23589
62,7.68198,11.92721,1.890e-04,2.024,0.162,23537
63,7.61902,11.92721,1.920e-04,1.959,0.172,23640
64,7.36977,11.92721,1.950e-04,1.993,0.209,23601
65,7.21242,11.92721,1.980e-04,2.142,0.262,23576
66,7.11092,11.92721,2.010e-04,1.969,0.128,23587
67,7.16281,11.92721,2.040e-04,1.843,0.132,23598
68,6.87188,11.92721,2.070e-04,2.082,0.248,23585
69,7.13545,11.92721,2.100e-04,1.763,0.206,23633
70,6.50719,11.92721,2.130e-04,2.041,0.118,23489
71,6.78425,11.92721,2.160e-04,1.794,0.189,23664
72,6.26785,11.92721,2.190e-04,2.074,0.193,23602
73,6.37637,11.92721,2.220e-04,1.856,0.165,23586
74,6.05979,11.92721,2.250e-04,1.927,0.186,23625
75,6.31755,11.92721,2.280e-04,1.791,0.210,23569
76,6.03693,11.92721,2.310e-04,1.775,0.135,23647
77,6.19536,11.92721,2.340e-04,1.715,0.165,23575
78,6.07264,11.92721,2.370e-04,1.626,0.179,23529
79,5.53609,11.92721,2.400e-04,1.717,0.181,23663
80,5.93440,11.92721,2.430e-04,1.473,0.122,23558
81,5.99433,11.92721,2.460e-04,1.394,0.161,23574
82,5.17627,11.92721,2.490e-04,1.638,0.171,23610
83,5.88564,11.92721,2.520e-04,1.437,0.214,23523
84,5.47829,11.92721,2.550e-04,1.411,0.153,23666
85,5.67721,11.92721,2.580e-04,1.253,0.175,23558
86,5.04256,11.92721,2.610e-04,1.361,0.215,23603
87,5.28614,11.92721,2.640e-04,1.336,0.266,23642
88,4.82799,11.92721,2.670e-04,1.298,0.158,23538
89,4.97655,11.92721,2.700e-04,1.362,0.287,23646
90,4.73787,11.92721,2.730e-04,1.219,0.230,23562
91,5.42242,11.92721,2.760e-04,0.939,0.151,23540
92,5.01787,11.92721,2.790e-04,1.203,0.217,23663
93,4.80605,11.92721,2.820e-04,0.983,0.184,23589
94,4.99255,11.92721,2.850e-04,0.915,0.169,23626
95,5.07757,11.92721,2.880e-04,0.890,0.176,23602
96,5.07821,11.92721,2.910e-04,0.794,0.138,23548
97,4.78511,11.92721,2.940e-04,0.848,0.191,23657
98,4.99682,11.92721,2.970e-04,0.886,0.238,23528
99,4.72376,11.92721,3.000e-04,0.705,0.152,23604
100,4.93421,11.92721,3.030e-04,0.750,0.195,23564
101,4.95825,11.92721,3.060e-04,0.685,0.150,23548
102,4.26250,11.92721,3.090e-04,0.662,0.132,23668
103,4.56690,11.92721,3.120e-04,0.561,0.129,23574
104,4.53440,11.92721,3.150e-04,0.534,0.125,23555
105,4.59539,11.92721,3.180e-04,0.712,0.165,23638
106,4.69649,11.92721,3.210e-04,0.562,0.148,23565
107,4.95806,11.92721,3.240e-04,0.549,0.137,23660
108,4.23530,11.92721,3.270e-04,0.600,0.168,23533
109,4.17797,11.92721,3.300e-04,0.706,0.190,23562
110,4.36018,11.92721,3.330e-04,0.736,0.192,23641
111,4.61261,11.92721,3.360e-04,0.561,0.157,23533
112,4.84296,11.92721,3.390e-04,0.790,0.214,23611
113,4.70547,11.92721,3.420e-04,0.509,0.166,23534
114,4.74758,11.92721,3.450e-04,0.559,0.153,23538
115,3.80861,11.92721,3.480e-04,0.622,0.222,23651
116,4.78303,11.92721,3.510e-04,0.815,0.289,23538
117,5.44226,11.92721,3.540e-04,0.765,0.204,23602
118,4.48551,11.92721,3.570e-04,0.671,0.214,23613
119,5.09683,11.92721,3.600e-04,0.721,0.225,23516
120,4.93850,11.92721,3.630e-04,0.690,0.217,23636
121,4.04777,11.92721,3.660e-04,0.674,0.292,23514
122,4.79232,11.92721,3.690e-04,0.671,0.267,23582
123,4.24221,11.92721,3.720e-04,0.631,0.220,23654
124,4.56405,11.92721,3.750e-04,0.588,0.226,23525
125,4.40082,11.92721,3.780e-04,0.537,0.174,23638
126,4.83128,11.92721,3.810e-04,0.533,0.184,23553
127,4.53618,11.92721,3.840e-04,0.620,0.259,23546
128,3.64515,11.92721,3.870e-04,0.487,0.147,23633
129,4.76613,11.92721,3.900e-04,0.789,0.256,23547
130,3.89848,11.92721,3.930e-04,0.544,0.198,23618
131,3.70029,11.92721,3.960e-04,0.547,0.169,23550
132,4.68650,11.92721,3.990e-04,0.867,0.353,23503
133,4.50053,11.92721,4.020e-04,0.721,0.266,23650
134,4.26215,11.92721,4.050e-04,0.520,0.195,23526
135,4.45242,11.92721,4.080e-04,0.807,0.284,23619
136,4.10116,11.92721,4.110e-04,0.538,0.226,23536
