step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86283,11.86194,3.000e-06,0.724,0.516,7908
1,11.86582,11.86194,6.000e-06,0.768,0.544,28053
2,11.85442,11.86194,9.000e-06,0.740,0.528,27744
3,11.85563,11.86194,1.200e-05,0.755,0.536,27917
4,11.84325,11.86194,1.500e-05,0.726,0.520,28057
5,11.82789,11.86194,1.800e-05,0.758,0.538,28111
6,11.82365,11.86194,2.100e-05,0.732,0.520,28021
7,11.81136,11.86194,2.400e-05,0.746,0.525,27937
8,11.79201,11.86194,2.700e-05,0.757,0.533,28132
9,11.77119,11.86194,3.000e-05,0.770,0.535,27753
10,11.75493,11.86194,3.300e-05,0.725,0.500,27832
11,11.73995,11.86194,3.600e-05,0.762,0.514,27841
12,11.70032,11.86194,3.900e-05,0.810,0.532,27740
13,11.69318,11.86194,4.200e-05,0.704,0.462,27732
14,11.64776,11.86194,4.500e-05,0.865,0.531,27704
15,11.63013,11.86194,4.800e-05,0.736,0.446,27784
16,11.60053,11.86194,5.100e-05,0.762,0.449,27822
17,11.57704,11.86194,5.400e-05,0.751,0.416,27774
18,11.52032,11.86194,5.700e-05,0.823,0.414,27794
19,11.49561,11.86194,6.000e-05,0.780,0.377,27809
20,11.44623,11.86194,6.300e-05,0.850,0.362,27707
21,11.42049,11.86194,6.600e-05,0.844,0.327,27848
22,11.34482,11.86194,6.900e-05,0.897,0.302,27829
23,11.30033,11.86194,7.200e-05,0.961,0.286,27724
24,11.24415,11.86194,7.500e-05,1.008,0.244,27737
25,11.24080,11.86194,7.800e-05,0.899,0.225,27706
26,11.20898,11.86194,8.100e-05,0.879,0.189,27771
27,11.15390,11.86194,8.400e-05,0.906,0.175,27914
28,11.07985,11.86194,8.700e-05,1.044,0.164,27802
29,11.05463,11.86194,9.000e-05,0.928,0.149,27811
30,10.96984,11.86194,9.300e-05,1.139,0.139,27774
31,10.94533,11.86194,9.600e-05,1.049,0.118,27735
32,10.90177,11.86194,9.900e-05,1.037,0.123,27805
33,10.87186,11.86194,1.020e-04,0.991,0.117,27830
34,10.79805,11.86194,1.050e-04,1.038,0.105,27720
35,10.73910,11.86194,1.080e-04,1.055,0.104,27739
36,10.71379,11.86194,1.110e-04,1.027,0.105,27648
37,10.64763,11.86194,1.140e-04,1.126,0.093,27630
38,10.59938,11.86194,1.170e-04,1.029,0.102,27804
39,10.56391,11.86194,1.200e-04,0.928,0.097,27727
40,10.48254,11.86194,1.230e-04,1.036,0.091,27740
41,10.45067,11.86194,1.260e-04,0.939,0.096,27686
42,10.36491,11.86194,1.290e-04,1.024,0.080,27667
43,10.35496,11.86194,1.320e-04,0.849,0.080,27684
44,10.24815,11.86194,1.350e-04,0.991,0.074,27781
45,10.15084,11.86194,1.380e-04,1.101,0.073,27671
46,10.11607,11.86194,1.410e-04,1.042,0.073,27652
47,10.03409,11.86194,1.440e-04,1.091,0.065,27650
48,10.00978,11.86194,1.470e-04,0.998,0.067,27673
49,9.94279,11.86194,1.500e-04,1.023,0.074,27798
50,9.85337,11.86194,1.530e-04,1.152,0.074,27730
51,9.82002,11.86194,1.560e-04,0.938,0.083,27731
52,9.76040,11.86194,1.590e-04,0.947,0.077,27649
53,9.68898,11.86194,1.620e-04,1.028,0.075,27652
54,9.61132,11.86194,1.650e-04,1.006,0.066,27748
55,9.55312,11.86194,1.680e-04,0.900,0.056,27790
56,9.50814,11.86194,1.710e-04,0.778,0.060,27709
57,9.46830,11.86194,1.740e-04,1.038,0.054,27673
58,9.41345,11.86194,1.770e-04,0.931,0.056,27676
59,9.29640,11.86194,1.800e-04,0.940,0.062,27460
60,9.28550,11.86194,1.830e-04,1.017,0.060,27818
61,9.21945,11.86194,1.860e-04,1.149,0.059,27674
62,9.17332,11.86194,1.890e-04,0.976,0.063,27806
63,9.10691,11.86194,1.920e-04,1.025,0.056,27675
64,9.05361,11.86194,1.950e-04,0.840,0.057,27680
65,8.91620,11.86194,1.980e-04,0.895,0.066,27753
66,8.91712,11.86194,2.010e-04,0.944,0.070,27741
67,8.85964,11.86194,2.040e-04,0.883,0.070,27663
68,8.84152,11.86194,2.070e-04,0.817,0.058,27690
69,8.72529,11.86194,2.100e-04,0.871,0.067,27671
