step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.86727,11.85385,3.000e-06,3.035,0.000,7888
1,11.85579,11.85385,6.000e-06,3.135,0.000,27524
2,11.82567,11.85385,9.000e-06,3.019,0.000,27090
3,11.78892,11.85385,1.200e-05,3.019,0.000,27125
4,11.73219,11.85385,1.500e-05,2.708,0.000,27359
5,11.68478,11.85385,1.800e-05,2.459,0.000,27326
6,11.63221,11.85385,2.100e-05,2.179,0.000,27318
7,11.59687,11.85385,2.400e-05,1.940,0.000,27312
8,11.55556,11.85385,2.700e-05,1.676,0.000,27305
9,11.51164,11.85385,3.000e-05,1.523,0.000,27398
10,11.48349,11.85385,3.300e-05,1.414,0.000,27362
11,11.45241,11.85385,3.600e-05,1.319,0.000,27381
12,11.39297,11.85385,3.900e-05,1.284,0.000,27263
13,11.43090,11.85385,4.200e-05,1.128,0.000,27320
14,11.33459,11.85385,4.500e-05,1.303,0.000,27383
15,11.38837,11.85385,4.800e-05,1.038,0.000,27361
16,11.34856,11.85385,5.100e-05,1.095,0.000,27321
17,11.32604,11.85385,5.400e-05,1.043,0.000,27261
18,11.27089,11.85385,5.700e-05,1.100,0.000,27314
19,11.27225,11.85385,6.000e-05,1.039,0.000,27344
20,11.22253,11.85385,6.300e-05,1.111,0.000,27395
21,11.21000,11.85385,6.600e-05,1.054,0.000,27271
22,11.14964,11.85385,6.900e-05,1.087,0.000,27356
23,11.10790,11.85385,7.200e-05,1.159,0.000,27291
24,11.05632,11.85385,7.500e-05,1.181,0.000,27382
25,11.06863,11.85385,7.800e-05,1.052,0.000,27348
26,11.03886,11.85385,8.100e-05,1.009,0.000,27293
27,10.98673,11.85385,8.400e-05,1.012,0.000,27295
28,10.91614,11.85385,8.700e-05,1.143,0.000,27287
29,10.90544,11.85385,9.000e-05,0.998,0.000,27359
30,10.80566,11.85385,9.300e-05,1.235,0.000,27375
31,10.79171,11.85385,9.600e-05,1.126,0.000,27313
32,10.74389,11.85385,9.900e-05,1.087,0.000,27483
33,10.70017,11.85385,1.020e-04,1.039,0.000,27805
34,10.62924,11.85385,1.050e-04,1.142,0.000,27590
35,10.56476,11.85385,1.080e-04,1.082,0.000,27686
36,10.54695,11.85385,1.110e-04,1.138,0.000,27527
37,10.48867,11.85385,1.140e-04,1.207,0.000,27569
38,10.43487,11.85385,1.170e-04,1.053,0.000,27521
39,10.39588,11.85385,1.200e-04,1.019,0.000,27573
40,10.31636,11.85385,1.230e-04,1.057,0.000,27676
41,10.28103,11.85385,1.260e-04,0.959,0.000,27565
42,10.19433,11.85385,1.290e-04,1.074,0.000,27592
43,10.17481,11.85385,1.320e-04,0.878,0.000,27614
44,10.07745,11.85385,1.350e-04,1.018,0.000,27554
45,9.98063,11.85385,1.380e-04,1.137,0.000,27624
46,9.95147,11.85385,1.410e-04,1.067,0.000,27626
47,9.87688,11.85385,1.440e-04,1.098,0.000,27532
48,9.85259,11.85385,1.470e-04,1.018,0.000,27512
49,9.77891,11.85385,1.500e-04,1.041,0.000,27562
50,9.69348,11.85385,1.530e-04,1.158,0.000,27605
51,9.65524,11.85385,1.560e-04,0.962,0.000,27677
52,9.60357,11.85385,1.590e-04,0.959,0.000,27497
53,9.53157,11.85385,1.620e-04,1.050,0.000,27532
54,9.45168,11.85385,1.650e-04,1.009,0.000,27662
55,9.40084,11.85385,1.680e-04,0.945,0.000,27541
56,9.34944,11.85385,1.710e-04,0.788,0.000,27687
57,9.34918,11.85385,1.740e-04,1.075,0.000,27572
58,9.27513,11.85385,1.770e-04,0.951,0.000,27539
59,9.16189,11.85385,1.800e-04,0.933,0.000,27561
60,9.16697,11.85385,1.830e-04,1.026,0.000,27506
61,9.12700,11.85385,1.860e-04,1.176,0.000,27639
62,9.06815,11.85385,1.890e-04,0.977,0.000,27596
63,9.00562,11.85385,1.920e-04,1.065,0.000,27563
64,8.95986,11.85385,1.950e-04,0.833,0.000,27565
65,8.81212,11.85385,1.980e-04,0.903,0.000,27637
66,8.84019,11.85385,2.010e-04,0.910,0.000,27615
67,8.77615,11.85385,2.040e-04,0.870,0.000,27662
68,8.76872,11.85385,2.070e-04,0.793,0.000,27541
69,8.66148,11.85385,2.100e-04,0.846,0.000,27592
70,8.67565,11.85385,2.130e-04,0.782,0.000,27547
71,8.68688,11.85385,2.160e-04,1.084,0.000,27554
72,8.54016,11.85385,2.190e-04,0.751,0.000,27677
73,8.47179,11.85385,2.220e-04,0.722,0.000,27547
74,8.57328,11.85385,2.250e-04,0.901,0.000,27534
75,8.44192,11.85385,2.280e-04,0.727,0.000,27589
76,8.44660,11.85385,2.310e-04,0.709,0.000,27628
77,8.36801,11.85385,2.340e-04,0.777,0.000,27648
78,8.35115,11.85385,2.370e-04,0.748,0.000,27601
79,8.31161,11.85385,2.400e-04,0.944,0.000,27570
80,8.31975,11.85385,2.430e-04,0.667,0.000,27505
81,8.30369,11.85385,2.460e-04,0.978,0.000,27544
82,8.34361,11.85385,2.490e-04,1.237,0.000,27598
83,8.29679,11.85385,2.520e-04,0.648,0.000,27671
84,8.23485,11.85385,2.550e-04,0.859,0.000,27543
85,8.17223,11.85385,2.580e-04,0.679,0.000,27529
86,8.10236,11.85385,2.610e-04,0.866,0.000,27580
87,8.15492,11.85385,2.640e-04,0.641,0.000,27637
88,8.11067,11.85385,2.670e-04,0.824,0.000,27709
89,8.05736,11.85385,2.700e-04,0.573,0.000,27558
90,8.11465,11.85385,2.730e-04,0.795,0.000,27548
91,8.08050,11.85385,2.760e-04,0.763,0.000,27550
92,8.04278,11.85385,2.790e-04,0.589,0.000,27569
93,7.99328,11.85385,2.820e-04,0.650,0.000,27676
94,7.99345,11.85385,2.850e-04,0.536,0.000,27660
95,7.94325,11.85385,2.880e-04,0.578,0.000,27544
96,7.92810,11.85385,2.910e-04,0.498,0.000,27551
97,7.87900,11.85385,2.940e-04,0.603,0.000,27926
98,7.88067,11.85385,2.970e-04,0.610,0.000,27728
99,7.88449,11.85385,3.000e-04,0.738,0.000,27662
100,7.79813,11.85385,3.030e-04,0.881,0.000,27577
101,7.86074,11.85385,3.060e-04,0.593,0.000,27502
102,7.73555,11.85385,3.090e-04,0.684,0.000,27543
103,7.75204,11.85385,3.120e-04,0.633,0.000,27559
104,7.69592,11.85385,3.150e-04,0.866,0.000,27692
105,7.74250,11.85385,3.180e-04,0.708,0.000,27599
106,7.75317,11.85385,3.210e-04,0.681,0.000,27525
