step,loss,val_loss,lr,grad_norm,proj_grad_norm,tokens_per_s
0,11.88222,11.85622,3.000e-06,3.759,0.382,7918
1,11.85904,11.85622,6.000e-06,4.217,0.405,28179
2,11.82137,11.85622,9.000e-06,3.813,0.362,27872
3,11.76358,11.85622,1.200e-05,3.624,0.342,27907
4,11.72645,11.85622,1.500e-05,2.914,0.271,27990
5,11.66803,11.85622,1.800e-05,2.562,0.224,28079
6,11.63055,11.85622,2.100e-05,2.166,0.165,28089
7,11.57530,11.85622,2.400e-05,1.983,0.148,28244
8,11.54305,11.85622,2.700e-05,1.761,0.118,28117
9,11.50354,11.85622,3.000e-05,1.557,0.098,28138
10,11.48333,11.85622,3.300e-05,1.483,0.100,28096
11,11.44160,11.85622,3.600e-05,1.364,0.092,28059
12,11.38722,11.85622,3.900e-05,1.341,0.087,28160
13,11.41761,11.85622,4.200e-05,1.176,0.086,28204
14,11.32709,11.85622,4.500e-05,1.399,0.083,28119
15,11.37008,11.85622,4.800e-05,1.147,0.074,28143
16,11.33873,11.85622,5.100e-05,1.202,0.093,28099
17,11.31847,11.85622,5.400e-05,1.113,0.062,28124
18,11.26673,11.85622,5.700e-05,1.172,0.072,28207
19,11.25127,11.85622,6.000e-05,1.101,0.071,28201
20,11.20212,11.85622,6.300e-05,1.145,0.069,28107
21,11.19949,11.85622,6.600e-05,1.113,0.082,28101
22,11.13567,11.85622,6.900e-05,1.126,0.074,28116
23,11.07784,11.85622,7.200e-05,1.205,0.073,28104
24,11.04062,11.85622,7.500e-05,1.193,0.061,28155
25,11.04331,11.85622,7.800e-05,1.058,0.046,28250
26,11.01627,11.85622,8.100e-05,1.015,0.069,28154
27,10.96554,11.85622,8.400e-05,1.010,0.062,28113
28,10.89414,11.85622,8.700e-05,1.135,0.047,28124
29,10.88517,11.85622,9.000e-05,1.050,0.082,28218
30,10.79542,11.85622,9.300e-05,1.239,0.074,28127
31,10.77944,11.85622,9.600e-05,1.143,0.084,28209
32,10.72633,11.85622,9.900e-05,1.105,0.054,28147
33,10.70386,11.85622,1.020e-04,1.066,0.065,28121
34,10.63687,11.85622,1.050e-04,1.119,0.080,28153
35,10.56274,11.85622,1.080e-04,1.098,0.055,28116
36,10.53737,11.85622,1.110e-04,1.090,0.076,28104
37,10.48054,11.85622,1.140e-04,1.154,0.058,28243
38,10.42901,11.85622,1.170e-04,1.067,0.066,28145
39,10.39913,11.85622,1.200e-04,0.981,0.079,28117
40,10.31578,11.85622,1.230e-04,1.079,0.080,28182
41,10.27540,11.85622,1.260e-04,0.967,0.054,28121
42,10.20236,11.85622,1.290e-04,1.053,0.064,28108
43,10.18839,11.85622,1.320e-04,0.874,0.042,28241
44,10.08633,11.85622,1.350e-04,1.014,0.052,28128
45,9.98983,11.85622,1.380e-04,1.113,0.051,28130
